municipality,group,variable,month,Cantidad,TOTAL
ACACIO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,1,1
ACHACACHI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,22,22
AIQUILE,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,3,3
ALALAY,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,1,1
ANCORAIMES,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,6,6
ANDAMARCA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,3,3
ANTEQUERA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,1,1
ANZALDO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,4,4
APOLO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,4,4
ARANI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,8,8
ARBIETO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,3,3
ASCENCION DE GUARAYOS,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,26,26
ATOCHA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,10,10
BATALLAS,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,7,7
BELLA FLOR,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,4,4
BERMEJO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,25,25
BETANZOS,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,13,13
BOYUIBE,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,4,4
CABEZAS,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,7,7
CAIROMA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,5,5
"CAIZA ""D""",salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,1,1
CAJUATA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,5,5
CALAMARCA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,4,4
CAMIRI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,17,17
CAPINOTA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,24,24
CARACOLLO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,11,11
CARANAVI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,26,26
CATACORA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,1,1
CHALLAPATA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,10,10
CHAYANTA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,1,1
CHIMORE,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,14,14
CHULUMANI (V. DE LA LIBERTAD),salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,10,10
CHUMA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,7,7
CKOCHAS,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,1,1
CLIZA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,1,1
COBIJA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,47,47
COCAPATA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,3,3
COCHABAMBA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,374,374
COIPASA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,2,2
COLCAPIRHUA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,49,49
COLOMI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,16,16
COLPA BELGICA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,3,3
COLQUECHACA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,5,5
COLQUIRI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,6,6
COMANCHE,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,2,2
COMARAPA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,12,12
CORIPATA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,23,23
CORQUE,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,3,3
COTOCA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,54,54
CULPINA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,1,1
DESAGUADERO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,2,2
EL ALTO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,359,359
EL CHORO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,2,2
EL PUENTE(TJA),salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,2,2
EL TORNO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,28,28
ENTRE RIOS TRJ,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,1,1
ENTRE RIOS CBBA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,35,35
ESCOMA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2010-01-01,8,8
