municipality,group,variable,month,Cantidad,TOTAL
BERMEJO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,1,1
CAMIRI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,7,7
CARMEN RIVERO TORREZ,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,1,1
COBIJA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,4,4
COCHABAMBA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,28,28
CORO CORO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,1,1
COTOCA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,1,1
EL ALTO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,25,25
ESCOMA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,1,1
GUAYARAMERIN,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,2,2
HUANUNI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,1,1
LA GUARDIA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,1,1
LA PAZ,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,67,67
LAJA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,1,1
LICOMA PAMPA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,1,1
LLALLAGUA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,1,1
MINEROS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,1,1
OKINAWA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,1,1
ORURO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,66,66
PALCA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,1,1
PALOS BLANCOS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,1,1
POTOSI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,3,3
PUERTO SUAREZ,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,1,1
PUERTO VILLARROEL,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,5,5
RIBERALTA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,8,8
RURRENABAQUE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,2,2
SACABA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,1,1
SAN IGNACIO DE VELASCO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,1,1
SAN JULIAN,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,1,1
SANTA ANA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,6,6
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,66,66
SUCRE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,5,5
TARIJA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,3,3
TIQUIPAYA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,1,1
TRINIDAD,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,3,3
TUPIZA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,1,1
UNCIA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,3,3
VIACHA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,2,2
VILLA MONTES,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,2,2
VILLAZON,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-01-01,1,1
ACHACACHI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,1,1
ASCENCION DE GUARAYOS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,5,5
BERMEJO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,2,2
CALAMARCA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,1,1
CAMIRI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,4,4
CARMEN RIVERO TORREZ,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,1,1
CHALLAPATA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,6,6
CHARAGUA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,2,2
COBIJA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,4,4
COCHABAMBA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,22,22
COTOCA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,5,5
EL ALTO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,20,20
FERNANDEZ ALONSO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,1,1
GUAYARAMERIN,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,3,3
LA PAZ,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,74,74
LLALLAGUA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,1,1
MINEROS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,2,2
MONTEAGUDO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,1,1
ORURO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,13,13
PATACAMAYA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,1,1
PORTACHUELO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,1,1
POTOSI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,4,4
PUERTO SUAREZ,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,5,5
PUERTO VILLARROEL,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,2,2
RIBERALTA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,5,5
RURRENABAQUE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,1,1
SACABA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,3,3
SAN JAVIER(STC),salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,6,6
SAN LORENZO(TJA),salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,1,1
SANTA ANA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,1,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,102,102
SUCRE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,11,11
TARIJA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,6,6
TOMINA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,1,1
TRINIDAD,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,6,6
UNCIA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,3,3
VIACHA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,8,8
VILLA MONTES,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,2,2
VILLA TUNARI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,1,1
VILLAZON,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-02-01,4,4
ARANI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,1,1
ASCENCION DE GUARAYOS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,5,5
BATALLAS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,1,1
BERMEJO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,1,1
CAMIRI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,3,3
CHALLAPATA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,3,3
CHARAGUA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,1,1
CLIZA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,1,1
COBIJA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,10,10
COCHABAMBA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,16,16
COROICO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,2,2
COTOCA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,7,7
EL ALTO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,30,30
GUAYARAMERIN,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,5,5
LA GUARDIA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,5,5
LA PAZ,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,90,90
MINEROS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,2,2
MONTEAGUDO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,4,4
ORURO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,17,17
PAMPA AULLAGAS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,1,1
PATACAMAYA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,1,1
POTOSI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,3,3
RIBERALTA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,15,15
SACABA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,1,1
SAN IGNACIO DE VELASCO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,8,8
SAN JAVIER(STC),salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,5,5
SAN JULIAN,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,1,1
SAN PEDRO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,1,1
SAN RAMON BENI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,1,1
SANTA ANA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,4,4
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,91,91
SUCRE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,4,4
TARIJA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2010-03-01,9,9
