year,disease_group,disease,municipalities,values,file
2005,sospecha diagnostica,sarampion / rubeola,32,558,clean/2005/sospecha-diagnostica/sarampion-rubeola.csv
2005,sospecha diagnostica,tos ferina,11,180,clean/2005/sospecha-diagnostica/tos-ferina.csv
2005,sospecha diagnostica,difteria,3,30,clean/2005/sospecha-diagnostica/difteria.csv
2005,sospecha diagnostica,paralisis flacida aguda,14,162,clean/2005/sospecha-diagnostica/paralisis-flacida-aguda.csv
2005,sospecha diagnostica,fiebre amarilla,10,156,clean/2005/sospecha-diagnostica/fiebre-amarilla.csv
2005,sospecha diagnostica,dengue hemorragico,4,42,clean/2005/sospecha-diagnostica/dengue-hemorragico.csv
2005,sospecha diagnostica,dengue clasico,58,1278,clean/2005/sospecha-diagnostica/dengue-clasico.csv
2005,sospecha diagnostica,fiebre hemorrag. bol,2,12,clean/2005/sospecha-diagnostica/fiebre-hemorrag-bol.csv
2005,sospecha diagnostica,peste,0,0,clean/2005/sospecha-diagnostica/peste.csv
2005,sospecha diagnostica,menin. meningococica,6,54,clean/2005/sospecha-diagnostica/menin-meningococica.csv
2005,sospecha diagnostica,colera,2,12,clean/2005/sospecha-diagnostica/colera.csv
2005,sospecha diagnostica,enfer. por hanta virus,10,192,clean/2005/sospecha-diagnostica/enfer-por-hanta-virus.csv
2005,sospecha diagnostica,rabia humana,9,90,clean/2005/sospecha-diagnostica/rabia-humana.csv
2005,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,156,1616,clean/2005/sospecha-diagnostica/numero-de-personas-mordidas-por-animal-sospechoso-de-rabia.csv
2005,inmunoprevenibles,tetanos neonatal,5,70,clean/2005/inmunoprevenibles/tetanos-neonatal.csv
2005,inmunoprevenibles,tetanos del adulto,29,416,clean/2005/inmunoprevenibles/tetanos-del-adulto.csv
2005,inmunoprevenibles,hepatitis,124,5519,clean/2005/inmunoprevenibles/hepatitis.csv
2005,inmunoprevenibles,parotiditis,182,6132,clean/2005/inmunoprevenibles/parotiditis.csv
2005,infec de transmision sexual,mujer con ulcera genital,180,7126,clean/2005/infec-de-transmision-sexual/mujer-con-ulcera-genital.csv
2005,infec de transmision sexual,hombre con ulcera genital,167,5479,clean/2005/infec-de-transmision-sexual/hombre-con-ulcera-genital.csv
2005,infec de transmision sexual,hombre con flujo uretral (uretritis),198,7544,clean/2005/infec-de-transmision-sexual/hombre-con-flujo-uretral-uretritis.csv
2005,infec de transmision sexual,sida,15,554,clean/2005/infec-de-transmision-sexual/sida.csv
2005,otras infecciones,enfermedad  diarreica aguda,322,42484,clean/2005/otras-infecciones/enfermedad-diarreica-aguda.csv
2005,otras infecciones,ira sin neumonia,322,42641,clean/2005/otras-infecciones/ira-sin-neumonia.csv
2005,otras infecciones,neumonia,322,40046,clean/2005/otras-infecciones/neumonia.csv
2005,otras infecciones,malaria,157,11186,clean/2005/otras-infecciones/malaria.csv
2005,otras infecciones,leishmaniasis,88,4661,clean/2005/otras-infecciones/leishmaniasis.csv
2005,tuberculosis y lepra,sintomatico respiratorio,318,35849,clean/2005/tuberculosis-y-lepra/sintomatico-respiratorio.csv
2005,tuberculosis y lepra, meningitis tb en menores de 5 anos,14,175,clean/2005/tuberculosis-y-lepra/meningitis-tb-en-menores-de-5-anos.csv
2005,tuberculosis y lepra,tuberculosis extrapulmonar,103,3053,clean/2005/tuberculosis-y-lepra/tuberculosis-extrapulmonar.csv
2005,tuberculosis y lepra,enfermos curados,92,3360,clean/2005/tuberculosis-y-lepra/enfermos-curados.csv
2005,tuberculosis y lepra,fracaso terapeutico,13,221,clean/2005/tuberculosis-y-lepra/fracaso-terapeutico.csv
2005,tuberculosis y lepra,lepra *,16,328,clean/2005/tuberculosis-y-lepra/lepra.csv
2005,violencia  intrafamiliar,hombres,154,4701,clean/2005/violencia-intrafamiliar/hombres.csv
2005,violencia  intrafamiliar,mujeres,224,9862,clean/2005/violencia-intrafamiliar/mujeres.csv
2005,mortalidad institucional,muerte materna,76,1022,clean/2005/mortalidad-institucional/muerte-materna.csv
2005,mortalidad institucional,muerte rn menor de 7 dias,163,3549,clean/2005/mortalidad-institucional/muerte-rn-menor-de-7-dias.csv
2005,mortalidad institucional,muerte menor de 1 ano,147,3626,clean/2005/mortalidad-institucional/muerte-menor-de-1-ano.csv
2005,mortalidad institucional,muerte  menor de 5 anos por diarrea,69,1057,clean/2005/mortalidad-institucional/muerte-menor-de-5-anos-por-diarrea.csv
2005,mortalidad institucional,muerte menor de 5 anos por neumonia,59,770,clean/2005/mortalidad-institucional/muerte-menor-de-5-anos-por-neumonia.csv
2005,mortalidad institucional,muerte menor de 5 anos por otras causas,126,3150,clean/2005/mortalidad-institucional/muerte-menor-de-5-anos-por-otras-causas.csv
2005,mortalidad institucional,otras muertes en personas mayores de 5 anos,235,8491,clean/2005/mortalidad-institucional/otras-muertes-en-personas-mayores-de-5-anos.csv
2005,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),235,2582,clean/2005/salud-sexual-y-reproductiva/hemorragia-de-la-primera-mitad-del-embarazo-22-sem.csv
2005,salud sexual y reproductiva,hemorragia del parto o puerperio,168,1196,clean/2005/salud-sexual-y-reproductiva/hemorragia-del-parto-o-puerperio.csv
2005,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),286,4078,clean/2005/salud-sexual-y-reproductiva/embarazo-en-adolecente-menor-de-20-anos.csv
