municipality,group,variable,month,Nro.,Nro. Afectados,Nro. Fallecidos,TOTAL
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-01-01,0,0,0,0
TARATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-01-01,1,0,0,1
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-02-01,0,0,0,0
TIQUIPAYA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-02-01,1,79,0,80
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-03-01,0,0,0,0
TINGUIPAYA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-03-01,1,0,0,1
TIRAQUE (CBBA),registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-03-01,2,129,0,131
PAILON,registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-04-01,0,1,1,2
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-04-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-05-01,0,0,0,0
PADCAYA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-06-01,1,0,0,1
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-06-01,0,0,0,0
SAN PABLO DE LIPEZ,registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-07-01,1,1,1,3
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-07-01,0,0,0,0
TIRAQUE (CBBA),registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-07-01,0,98,0,98
LAGUNILLAS,registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-08-01,1,56,0,57
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-08-01,0,0,0,0
COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-09-01,1,0,0,1
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-09-01,0,0,0,0
MONTEAGUDO,registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-10-01,1,0,0,1
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-10-01,0,0,0,0
VILLA VACA GUZMAN (MUYUPAMPA),registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-10-01,1,5000,0,5001
VILLAZON,registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-10-01,1,43,0,44
COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-11-01,2,0,0,2
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-11-01,0,0,0,0
TIRAQUE (CBBA),registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-11-01,1,50,0,51
VILLAZON,registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-11-01,1,40,0,41
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2011-12-01,0,0,0,0
