municipality,group,variable,month,Nro.,Nro. Afectados,Nro. Fallecidos,TOTAL
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,otros de excepcion,2011-01-01,1,22,15,38
TOTORA(ORR),registro de eventos de notificacion inmediata,otros de excepcion,2011-01-01,1,500,0,501
HUACARETA,registro de eventos de notificacion inmediata,otros de excepcion,2011-02-01,1,2,0,3
LA ASUNTA,registro de eventos de notificacion inmediata,otros de excepcion,2011-02-01,0,8,0,8
MECAPACA,registro de eventos de notificacion inmediata,otros de excepcion,2011-02-01,1,16,5,22
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,otros de excepcion,2011-02-01,0,0,0,0
VILLA TUNARI,registro de eventos de notificacion inmediata,otros de excepcion,2011-02-01,2,10,0,12
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,otros de excepcion,2011-03-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,otros de excepcion,2011-04-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,otros de excepcion,2011-05-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,otros de excepcion,2011-06-01,0,0,0,0
ICHOCA,registro de eventos de notificacion inmediata,otros de excepcion,2011-07-01,1,3,1,5
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,otros de excepcion,2011-07-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,otros de excepcion,2011-08-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,otros de excepcion,2011-09-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,otros de excepcion,2011-10-01,0,0,0,0
LAGUNILLAS,registro de eventos de notificacion inmediata,otros de excepcion,2011-11-01,1,1226,0,1227
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,otros de excepcion,2011-11-01,0,0,0,0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,otros de excepcion,2011-12-01,0,0,0,0
