,group,variable,month,a. Menor de 6 meses,a. Menor de 6 meses,b. 6 meses a menor de 1 año,b. 6 meses a menor de 1 año,c. 1 - 4 años,c. 1 - 4 años,d. 5 - 9 años,d. 5 - 9 años,e. 10 - 14 años,e. 10 - 14 años,f. 15 - 19 años,f. 15 - 19 años,g. 20 - 39 años,g. 20 - 39 años,h. 40 - 49 años,h. 40 - 49 años,i. 50 - 59 años,i. 50 - 59 años,j. 60 años y más,j. 60 años y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
ASCENCION DE GUARAYOS,enfermedades transmitidas por vectores (etv),dengue,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,3
BOYUIBE,enfermedades transmitidas por vectores (etv),dengue,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CARANAVI,enfermedades transmitidas por vectores (etv),dengue,2015-01-01,0,0,0,0,0,0,0,1,0,0,1,0,1,2,1,2,0,0,0,0,3,5,8
CARAPARI,enfermedades transmitidas por vectores (etv),dengue,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1,3
CARMEN RIVERO TORREZ,enfermedades transmitidas por vectores (etv),dengue,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
COBIJA,enfermedades transmitidas por vectores (etv),dengue,2015-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,2,2,4
COCHABAMBA,enfermedades transmitidas por vectores (etv),dengue,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,4,1,0,0,0,6,6,12
CONCEPCION,enfermedades transmitidas por vectores (etv),dengue,2015-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,3,4
COTOCA,enfermedades transmitidas por vectores (etv),dengue,2015-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
EL PUENTE(STC),enfermedades transmitidas por vectores (etv),dengue,2015-01-01,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,3,2,5
EL TORNO,enfermedades transmitidas por vectores (etv),dengue,2015-01-01,0,0,0,0,0,2,0,0,1,1,1,2,1,1,1,1,0,0,1,0,5,7,12
FERNANDEZ ALONSO,enfermedades transmitidas por vectores (etv),dengue,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4
GUANAY,enfermedades transmitidas por vectores (etv),dengue,2015-01-01,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,3,1,4
GUAYARAMERIN,enfermedades transmitidas por vectores (etv),dengue,2015-01-01,1,1,1,1,3,4,1,1,1,1,0,0,4,2,2,2,2,0,1,1,16,13,29
LA GUARDIA,enfermedades transmitidas por vectores (etv),dengue,2015-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LA PAZ,enfermedades transmitidas por vectores (etv),dengue,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MACHARETI,enfermedades transmitidas por vectores (etv),dengue,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,1,5,6
MAIRANA,enfermedades transmitidas por vectores (etv),dengue,2015-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
MAPIRI,enfermedades transmitidas por vectores (etv),dengue,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
MONTEAGUDO,enfermedades transmitidas por vectores (etv),dengue,2015-01-01,0,0,0,0,2,0,0,0,1,2,2,1,5,4,4,2,1,2,5,3,20,14,34
MONTERO,enfermedades transmitidas por vectores (etv),dengue,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
