,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,otras infecciones,"no de personas expuestas al virus rabico(mordida,",2012-01-01,0,0,0,0,0,1,0,1,2,1,1,1,3,4,7
AIQUILE,otras infecciones,"no de personas expuestas al virus rabico(mordida,",2012-01-01,0,0,0,0,1,1,1,0,0,0,1,0,3,1,4
ANCORAIMES,otras infecciones,"no de personas expuestas al virus rabico(mordida,",2012-01-01,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2
APOLO,otras infecciones,"no de personas expuestas al virus rabico(mordida,",2012-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
ARBIETO,otras infecciones,"no de personas expuestas al virus rabico(mordida,",2012-01-01,0,0,0,1,0,0,1,1,1,0,1,3,3,5,8
ARQUE,otras infecciones,"no de personas expuestas al virus rabico(mordida,",2012-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
ATOCHA,otras infecciones,"no de personas expuestas al virus rabico(mordida,",2012-01-01,0,0,0,0,1,0,0,0,1,2,0,0,2,2,4
AYATA,otras infecciones,"no de personas expuestas al virus rabico(mordida,",2012-01-01,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2
BATALLAS,otras infecciones,"no de personas expuestas al virus rabico(mordida,",2012-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
BERMEJO,otras infecciones,"no de personas expuestas al virus rabico(mordida,",2012-01-01,0,0,2,1,2,1,4,6,4,3,0,0,12,11,23
BETANZOS,otras infecciones,"no de personas expuestas al virus rabico(mordida,",2012-01-01,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2
BUENA VISTA,otras infecciones,"no de personas expuestas al virus rabico(mordida,",2012-01-01,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2
CABEZAS,otras infecciones,"no de personas expuestas al virus rabico(mordida,",2012-01-01,0,0,2,0,1,0,0,0,1,0,0,0,4,0,4
CALACOTO,otras infecciones,"no de personas expuestas al virus rabico(mordida,",2012-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
CALAMARCA,otras infecciones,"no de personas expuestas al virus rabico(mordida,",2012-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CAMIRI,otras infecciones,"no de personas expuestas al virus rabico(mordida,",2012-01-01,0,0,0,1,1,1,4,1,2,1,1,0,8,4,12
CAPINOTA,otras infecciones,"no de personas expuestas al virus rabico(mordida,",2012-01-01,0,0,1,3,3,1,3,0,0,0,1,0,8,4,12
CAQUIAVIRI,otras infecciones,"no de personas expuestas al virus rabico(mordida,",2012-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CARANAVI,otras infecciones,"no de personas expuestas al virus rabico(mordida,",2012-01-01,0,0,1,2,1,0,1,1,3,0,1,1,7,4,11
