municipality,group,variable,month,Cantidad,TOTAL-M
ATOCHA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,1,1
BERMEJO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,1,1
CAMARGO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,2,2
CHALLAPATA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,1,1
CHARAGUA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,2,2
COCHABAMBA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,7,7
COLQUENCHA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,1,1
COLQUIRI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,1,1
COTOCA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,2,2
EL ALTO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,7,7
GUAYARAMERIN,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,1,1
LA PAZ,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,2,2
LLALLAGUA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,1,1
MINEROS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,1,1
MONTEAGUDO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,1,1
MONTERO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,2,2
ORURO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,16,16
PADILLA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,1,1
PALOS BLANCOS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,2,2
POROMA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,1,1
POTOSI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,5,5
RIBERALTA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,3,3
SAN BORJA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,1,1
SAN CARLOS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,1,1
SAN IGNACIO DE VELASCO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,3,3
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,28,28
SANTA ROSA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,1,1
SUCRE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,5,5
TARIJA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,3,3
TIAWANACU,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,2,2
TIQUIPAYA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,1,1
TRINIDAD,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,11,11
UNCIA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,1,1
VILLA MONTES,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,1,1
VILLA SERRANO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,1,1
VILLAZON,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-01-01,1,1
BERMEJO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-02-01,4,4
CAMARGO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2005-02-01,1,1
