municipality,group,variable,month,Cantidad,TOTAL-M
ACACIO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,1,1
ACHACACHI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,24,24
AIQUILE,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,13,13
ANDAMARCA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,1,1
ANZALDO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,9,9
ARQUE,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,3,3
ATOCHA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,13,13
AUCAPATA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,1,1
AZURDUY,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,6,6
BATALLAS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,12,12
BERMEJO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,15,15
BETANZOS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,12,12
BOLIVAR,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,1,1
BOYUIBE,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,3,3
BUENA VISTA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,5,5
CABEZAS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,4,4
CAJUATA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,16,16
CALAMARCA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,6,6
CAMARGO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,5,5
CAMIRI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,23,23
CAPINOTA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,15,15
CARACOLLO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,2,2
CARANAVI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,3,3
CHALLAPATA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,27,27
CHARAGUA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,15,15
CHIMORE,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,71,71
CHIPAYA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,1,1
CHUMA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,3,3
CLIZA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,13,13
COBIJA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,18,18
COCHABAMBA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,408,408
COLCAPIRHUA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,22,22
COLOMI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,42,42
COLPA BELGICA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,2,2
COLQUECHACA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,1,1
COLQUENCHA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,3,3
COLQUIRI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,1,1
COMARAPA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,1,1
CONCEPCION,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,43,43
COPACABANA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,1,1
CORIPATA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,8,8
COROICO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,5,5
COTOCA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,15,15
CUATRO CAÑADAS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,1,1
CULPINA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,4,4
CURAHUARA DE CARANGAS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,1,1
CURVA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,1,1
DESAGUADERO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,2,2
EL ALTO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,453,453
EL TORNO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,9,9
ENTRE RIOS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,27,27
FERNANDEZ ALONSO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,10,10
GUANAY,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,1,1
GUAYARAMERIN,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,89,89
GUTIERREZ,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,4,4
HUACARETA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,8,8
HUANUNI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,58,58
HUAYLLAMARCA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,1,1
ICLA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,7,7
INCAHUASI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2005-01-01,2,2
