,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
AIQUILE,otras infecciones,malaria,2009-01-01,0,0,0,0,0,0,2,1,1,1,0,0,3,2,5
AZURDUY,otras infecciones,malaria,2009-01-01,0,0,2,0,0,0,1,0,0,2,0,0,3,2,5
BAURES,otras infecciones,malaria,2009-01-01,0,0,2,0,0,0,4,2,1,0,0,1,7,3,10
BERMEJO,otras infecciones,malaria,2009-01-01,0,0,4,0,7,1,1,0,7,5,1,0,20,6,26
BUENA VISTA,otras infecciones,malaria,2009-01-01,0,0,4,3,5,5,11,6,11,13,5,1,36,28,64
CABEZAS,otras infecciones,malaria,2009-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CAMIRI,otras infecciones,malaria,2009-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CARANAVI,otras infecciones,malaria,2009-01-01,1,1,0,4,6,5,19,8,38,37,7,1,71,56,127
CARAPARI,otras infecciones,malaria,2009-01-01,0,0,0,1,0,1,7,1,3,0,0,1,10,4,14
CHIMORE,otras infecciones,malaria,2009-01-01,1,0,0,1,0,1,0,1,2,1,0,0,3,4,7
COBIJA,otras infecciones,malaria,2009-01-01,1,0,2,1,2,0,1,3,3,2,0,0,9,6,15
COCHABAMBA,otras infecciones,malaria,2009-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
COLOMI,otras infecciones,malaria,2009-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
COROICO,otras infecciones,malaria,2009-01-01,0,0,0,0,0,0,0,1,2,0,0,0,2,1,3
COTOCA,otras infecciones,malaria,2009-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CULPINA,otras infecciones,malaria,2009-01-01,0,0,0,2,0,1,0,1,1,3,3,0,4,7,11
EL TORNO,otras infecciones,malaria,2009-01-01,1,0,8,6,15,8,24,18,23,22,3,3,74,57,131
ENTRE RIOS,otras infecciones,malaria,2009-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
ENTRE RIOS,otras infecciones,malaria,2009-01-01,0,0,1,0,0,0,0,0,2,0,0,0,3,0,3
EUREKA (SANTOS MERCADO),otras infecciones,malaria,2009-01-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
GRAL. J.J. PEREZ (CHARAZANI),otras infecciones,malaria,2009-01-01,0,0,0,0,0,0,1,1,1,1,0,0,2,2,4
GUANAY,otras infecciones,malaria,2009-01-01,1,1,6,4,13,6,24,22,17,24,5,3,66,60,126
GUAYARAMERIN,otras infecciones,malaria,2009-01-01,11,6,46,50,74,67,140,140,165,196,29,16,465,475,940
HUACARETA,otras infecciones,malaria,2009-01-01,0,0,0,1,0,0,1,2,2,1,0,0,3,4,7
ICLA,otras infecciones,malaria,2009-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
