municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 14 años,15 a 59 años,60 y más,TOTAL
BELLA FLOR,sospecha diagnostica,dengue clasico,2007-01-01,0,0,0,1,0,1
BERMEJO,sospecha diagnostica,dengue clasico,2007-01-01,0,0,0,2,0,2
BUENA VISTA,sospecha diagnostica,dengue clasico,2007-01-01,0,0,0,5,0,5
CARANAVI,sospecha diagnostica,dengue clasico,2007-01-01,0,0,0,1,0,1
CHIMORE,sospecha diagnostica,dengue clasico,2007-01-01,0,0,0,1,0,1
COBIJA,sospecha diagnostica,dengue clasico,2007-01-01,4,10,26,60,0,100
COCHABAMBA,sospecha diagnostica,dengue clasico,2007-01-01,0,0,0,5,0,5
COTOCA,sospecha diagnostica,dengue clasico,2007-01-01,0,0,0,1,0,1
EL TORNO,sospecha diagnostica,dengue clasico,2007-01-01,0,0,14,32,4,50
IXIAMAS,sospecha diagnostica,dengue clasico,2007-01-01,0,0,0,2,0,2
LA GUARDIA,sospecha diagnostica,dengue clasico,2007-01-01,0,0,3,13,0,16
LORETO,sospecha diagnostica,dengue clasico,2007-01-01,0,0,0,1,0,1
MONTEAGUDO,sospecha diagnostica,dengue clasico,2007-01-01,0,5,18,31,1,55
MONTERO,sospecha diagnostica,dengue clasico,2007-01-01,0,2,8,43,3,56
OKINAWA,sospecha diagnostica,dengue clasico,2007-01-01,0,0,0,2,2,4
PADILLA,sospecha diagnostica,dengue clasico,2007-01-01,0,3,5,22,6,36
PALOS BLANCOS,sospecha diagnostica,dengue clasico,2007-01-01,0,0,0,2,0,2
PORTACHUELO,sospecha diagnostica,dengue clasico,2007-01-01,0,0,3,14,0,17
PORVENIR,sospecha diagnostica,dengue clasico,2007-01-01,0,0,2,10,1,13
PUERTO VILLARROEL,sospecha diagnostica,dengue clasico,2007-01-01,0,0,0,3,0,3
SAN IGNACIO DE VELASCO,sospecha diagnostica,dengue clasico,2007-01-01,0,0,0,2,0,2
SAN JULIAN,sospecha diagnostica,dengue clasico,2007-01-01,0,0,0,5,0,5
SAN MATIAS,sospecha diagnostica,dengue clasico,2007-01-01,0,3,6,13,2,24
SAN PEDRO,sospecha diagnostica,dengue clasico,2007-01-01,0,0,2,8,2,12
SAN RAMON,sospecha diagnostica,dengue clasico,2007-01-01,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,dengue clasico,2007-01-01,0,18,50,151,3,222
TIRAQUE (CBBA),sospecha diagnostica,dengue clasico,2007-01-01,0,0,0,2,0,2
TRINIDAD,sospecha diagnostica,dengue clasico,2007-01-01,0,0,0,2,1,3
VALLEGRANDE,sospecha diagnostica,dengue clasico,2007-01-01,0,0,2,4,1,7
VILLA TUNARI,sospecha diagnostica,dengue clasico,2007-01-01,0,2,4,19,0,25
YACUIBA,sospecha diagnostica,dengue clasico,2007-01-01,0,0,0,0,2,2
YAPACANI,sospecha diagnostica,dengue clasico,2007-01-01,0,0,0,1,0,1
BAURES,sospecha diagnostica,dengue clasico,2007-02-01,0,0,2,6,1,9
BERMEJO,sospecha diagnostica,dengue clasico,2007-02-01,0,0,0,2,0,2
BOLPEBRA,sospecha diagnostica,dengue clasico,2007-02-01,0,0,0,1,0,1
BUENA VISTA,sospecha diagnostica,dengue clasico,2007-02-01,0,0,3,10,0,13
CAMIRI,sospecha diagnostica,dengue clasico,2007-02-01,0,0,12,18,12,42
CARANAVI,sospecha diagnostica,dengue clasico,2007-02-01,0,0,1,4,0,5
CHIMORE,sospecha diagnostica,dengue clasico,2007-02-01,0,0,0,2,0,2
COBIJA,sospecha diagnostica,dengue clasico,2007-02-01,2,4,10,26,1,43
COCHABAMBA,sospecha diagnostica,dengue clasico,2007-02-01,0,0,0,5,0,5
COLPA BELGICA,sospecha diagnostica,dengue clasico,2007-02-01,0,0,0,1,0,1
CONCEPCION,sospecha diagnostica,dengue clasico,2007-02-01,0,0,0,5,1,6
COTOCA,sospecha diagnostica,dengue clasico,2007-02-01,0,0,1,4,0,5
EL TORNO,sospecha diagnostica,dengue clasico,2007-02-01,0,0,3,23,1,27
ENTRE RIOS,sospecha diagnostica,dengue clasico,2007-02-01,0,0,1,5,0,6
EXALTACION,sospecha diagnostica,dengue clasico,2007-02-01,0,0,0,2,0,2
FERNANDEZ ALONSO,sospecha diagnostica,dengue clasico,2007-02-01,0,0,9,5,0,14
GENERAL SAAVEDRA,sospecha diagnostica,dengue clasico,2007-02-01,0,0,0,3,0,3
GUANAY,sospecha diagnostica,dengue clasico,2007-02-01,0,0,0,2,0,2
GUAYARAMERIN,sospecha diagnostica,dengue clasico,2007-02-01,0,0,1,11,0,12
IXIAMAS,sospecha diagnostica,dengue clasico,2007-02-01,0,0,0,4,0,4
LA GUARDIA,sospecha diagnostica,dengue clasico,2007-02-01,0,1,1,2,0,4
MINEROS,sospecha diagnostica,dengue clasico,2007-02-01,0,0,0,3,0,3
MONTEAGUDO,sospecha diagnostica,dengue clasico,2007-02-01,0,8,45,136,18,207
MONTERO,sospecha diagnostica,dengue clasico,2007-02-01,0,5,18,98,1,122
OKINAWA,sospecha diagnostica,dengue clasico,2007-02-01,0,0,1,2,0,3
PAILON,sospecha diagnostica,dengue clasico,2007-02-01,0,0,5,1,0,6
PALOS BLANCOS,sospecha diagnostica,dengue clasico,2007-02-01,0,0,0,2,0,2
PORONGO,sospecha diagnostica,dengue clasico,2007-02-01,0,0,2,0,0,2
PORTACHUELO,sospecha diagnostica,dengue clasico,2007-02-01,0,7,11,41,2,61
PORVENIR,sospecha diagnostica,dengue clasico,2007-02-01,0,1,1,4,1,7
PUCARA,sospecha diagnostica,dengue clasico,2007-02-01,0,0,0,3,0,3
