municipality,group,variable,month,Dentro-H,Dentro-M,Fuera-H,Fuera-M,TOTAL-H,TOTAL-M,TOTAL
CHARAÑA,mortalidad institucional,muerte materna,2007-01-01,0,0,0,1,0,1,1
CHUMA,mortalidad institucional,muerte materna,2007-01-01,0,0,0,1,0,1,1
LA PAZ,mortalidad institucional,muerte materna,2007-01-01,0,4,0,0,0,4,4
LLALLAGUA,mortalidad institucional,muerte materna,2007-01-01,0,1,0,0,0,1,1
ORURO,mortalidad institucional,muerte materna,2007-01-01,0,2,0,0,0,2,2
PALOS BLANCOS,mortalidad institucional,muerte materna,2007-01-01,0,0,0,1,0,1,1
POTOSI,mortalidad institucional,muerte materna,2007-01-01,0,1,0,0,0,1,1
PUCARANI,mortalidad institucional,muerte materna,2007-01-01,0,0,0,1,0,1,1
SAN LORENZO(TJA),mortalidad institucional,muerte materna,2007-01-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte materna,2007-01-01,0,1,0,0,0,1,1
SUCRE,mortalidad institucional,muerte materna,2007-01-01,0,1,0,0,0,1,1
TACOPAYA,mortalidad institucional,muerte materna,2007-01-01,0,0,0,1,0,1,1
TARIJA,mortalidad institucional,muerte materna,2007-01-01,0,2,0,0,0,2,2
VILLA MONTES,mortalidad institucional,muerte materna,2007-01-01,0,1,0,0,0,1,1
AZURDUY,mortalidad institucional,muerte materna,2007-02-01,0,0,0,1,0,1,1
CULPINA,mortalidad institucional,muerte materna,2007-02-01,0,0,0,1,0,1,1
LA PAZ,mortalidad institucional,muerte materna,2007-02-01,0,1,0,0,0,1,1
MIZQUE,mortalidad institucional,muerte materna,2007-02-01,0,0,0,1,0,1,1
PUCARANI,mortalidad institucional,muerte materna,2007-02-01,0,0,0,1,0,1,1
PUERTO GONZALO MORENO,mortalidad institucional,muerte materna,2007-02-01,0,0,0,2,0,2,2
SAN JUAN DE YAPACANI,mortalidad institucional,muerte materna,2007-02-01,0,0,0,1,0,1,1
SAN LUCAS,mortalidad institucional,muerte materna,2007-02-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte materna,2007-02-01,0,1,0,0,0,1,1
LA PAZ,mortalidad institucional,muerte materna,2007-03-01,0,1,0,0,0,1,1
MIZQUE,mortalidad institucional,muerte materna,2007-03-01,0,0,0,2,0,2,2
MOCOMOCO,mortalidad institucional,muerte materna,2007-03-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte materna,2007-03-01,0,3,0,0,0,3,3
TUPIZA,mortalidad institucional,muerte materna,2007-03-01,0,1,0,0,0,1,1
VILA VILA,mortalidad institucional,muerte materna,2007-03-01,0,0,0,1,0,1,1
CHARAGUA,mortalidad institucional,muerte materna,2007-04-01,0,1,0,0,0,1,1
