municipality,group,variable,month,Dentro-H,Dentro-M,Fuera-H,Fuera-M,TOTAL-H,TOTAL-M,TOTAL
AYO AYO,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,0,1,0,1,0,1
CALAMARCA,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,0,1,0,1,0,1
CARANAVI,mortalidad institucional,muerte menor de 1 ano,2007-01-01,2,0,2,0,4,0,4
CHALLAPATA,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,0,1,1,1,1,2
CHIPAYA,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,0,0,1,0,1,1
COBIJA,mortalidad institucional,muerte menor de 1 ano,2007-01-01,1,0,0,0,1,0,1
COCHABAMBA,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,4,0,1,0,5,5
"COLCHA ""K""",mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,0,1,0,1,0,1
COLPA BELGICA,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,0,0,1,0,1,1
COLQUENCHA,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,0,2,0,2,0,2
COMARAPA,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,1,0,0,0,1,1
CULPINA,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,0,1,0,1,0,1
EL ALTO,mortalidad institucional,muerte menor de 1 ano,2007-01-01,12,2,1,2,13,4,17
ICHOCA,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,0,0,1,0,1,1
IXIAMAS,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,1,0,0,0,1,1
LA PAZ,mortalidad institucional,muerte menor de 1 ano,2007-01-01,18,17,0,3,18,20,38
LLALLAGUA,mortalidad institucional,muerte menor de 1 ano,2007-01-01,1,0,0,0,1,0,1
MINEROS,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,0,1,0,1,0,1
MIZQUE,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,0,1,0,1,0,1
MONTEAGUDO,mortalidad institucional,muerte menor de 1 ano,2007-01-01,2,0,0,0,2,0,2
ORURO,mortalidad institucional,muerte menor de 1 ano,2007-01-01,5,2,2,0,7,2,9
PADILLA,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,0,1,0,1,0,1
POTOSI,mortalidad institucional,muerte menor de 1 ano,2007-01-01,9,7,1,0,10,7,17
PRESTO,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,0,0,1,0,1,1
PUERTO VILLARROEL,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,1,0,0,0,1,1
PUNA,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,0,1,0,1,0,1
ROBORE,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,0,1,0,1,0,1
SAN ANDRES,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,0,1,0,1,0,1
SAN BORJA,mortalidad institucional,muerte menor de 1 ano,2007-01-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,mortalidad institucional,muerte menor de 1 ano,2007-01-01,1,4,1,0,2,4,6
SAN LUCAS,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,0,2,0,2,0,2
SAN PEDRO DE TIQUINA,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,0,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte menor de 1 ano,2007-01-01,7,3,0,0,7,3,10
SANTIAGO DE HUARI,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,0,0,1,0,1,1
SAPAHAQUI,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,0,1,1,1,1,2
SUCRE,mortalidad institucional,muerte menor de 1 ano,2007-01-01,2,5,0,0,2,5,7
TARIJA,mortalidad institucional,muerte menor de 1 ano,2007-01-01,1,1,2,1,3,2,5
TOMAVE,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,0,1,0,1,0,1
TRINIDAD,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,1,1,0,1,1,2
UNCIA,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,0,1,0,1,0,1
VALLEGRANDE,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,0,1,0,1,0,1
VILLA MONTES,mortalidad institucional,muerte menor de 1 ano,2007-01-01,1,0,0,0,1,0,1
VILLA TUNARI,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,1,0,0,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,0,1,0,1,0,1
VILLAZON,mortalidad institucional,muerte menor de 1 ano,2007-01-01,0,1,0,0,0,1,1
YAPACANI,mortalidad institucional,muerte menor de 1 ano,2007-01-01,1,0,0,0,1,0,1
ACHACACHI,mortalidad institucional,muerte menor de 1 ano,2007-02-01,0,0,1,0,1,0,1
ARAMPAMPA,mortalidad institucional,muerte menor de 1 ano,2007-02-01,1,0,0,0,1,0,1
AZURDUY,mortalidad institucional,muerte menor de 1 ano,2007-02-01,0,0,1,0,1,0,1
CARANAVI,mortalidad institucional,muerte menor de 1 ano,2007-02-01,0,1,1,3,1,4,5
COBIJA,mortalidad institucional,muerte menor de 1 ano,2007-02-01,0,0,1,0,1,0,1
COCHABAMBA,mortalidad institucional,muerte menor de 1 ano,2007-02-01,3,5,0,0,3,5,8
COPACABANA,mortalidad institucional,muerte menor de 1 ano,2007-02-01,0,0,1,0,1,0,1
EL ALTO,mortalidad institucional,muerte menor de 1 ano,2007-02-01,6,8,4,1,10,9,19
HUACARETA,mortalidad institucional,muerte menor de 1 ano,2007-02-01,0,0,1,0,1,0,1
LA PAZ,mortalidad institucional,muerte menor de 1 ano,2007-02-01,17,14,1,1,18,15,33
LLALLAGUA,mortalidad institucional,muerte menor de 1 ano,2007-02-01,0,0,1,1,1,1,2
MACHACAMARCA,mortalidad institucional,muerte menor de 1 ano,2007-02-01,0,0,0,1,0,1,1
MONTEAGUDO,mortalidad institucional,muerte menor de 1 ano,2007-02-01,0,1,0,0,0,1,1
ORURO,mortalidad institucional,muerte menor de 1 ano,2007-02-01,2,0,1,1,3,1,4
POTOSI,mortalidad institucional,muerte menor de 1 ano,2007-02-01,0,1,0,0,0,1,1
QUILLACOLLO,mortalidad institucional,muerte menor de 1 ano,2007-02-01,0,0,0,1,0,1,1
