municipality,group,variable,month,Dentro-H,Dentro-M,Fuera-H,Fuera-M,TOTAL-H,TOTAL-M,TOTAL
APOLO,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,1,0,0,0,1,0,1
AYO AYO,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,0,1,0,1,0,1
BOLIVAR,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,0,1,0,1,0,1
BUENA VISTA,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,0,0,1,0,1,1
CALAMARCA,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,0,1,0,1,0,1
CARANAVI,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,2,1,2,0,4,1,5
CHARAÑA,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,0,0,1,0,1,1
CHAYANTA,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,0,0,1,0,1,1
COCHABAMBA,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,2,5,0,0,2,5,7
COLOMI,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,0,0,1,0,1,1
COLQUENCHA,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,0,2,0,2,0,2
COMARAPA,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,1,0,0,0,1,1
CULPINA,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,0,1,0,1,0,1
EL ALTO,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,11,0,1,4,12,4,16
ICHOCA,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,0,0,1,0,1,1
LA PAZ,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,21,17,1,3,22,20,42
MONTERO,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,2,0,1,0,3,3
MOROCHATA,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,0,0,1,0,1,1
ORURO,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,3,0,2,0,5,0,5
PADILLA,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,0,1,0,1,0,1
PALOS BLANCOS,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,0,1,0,1,0,1
POCOATA,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,0,1,0,1,0,1
POTOSI,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,10,7,0,0,10,7,17
QUILLACOLLO,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,0,1,0,1,0,1
RIBERALTA,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,1,1,0,0,1,1,2
SAN IGNACIO DE VELASCO,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,2,5,1,1,3,6,9
SAN JOSE DE CHIQUITOS,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,0,1,0,1,0,1
SAN LUCAS,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,0,1,0,1,0,1
SAN RAFAEL,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,1,2,0,0,1,2,3
SANTIAGO DE HUARI,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,0,1,0,1,0,1
SAPAHAQUI,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,0,1,1,1,1,2
SUCRE,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,2,5,0,0,2,5,7
TRINIDAD,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,2,1,1,0,3,1,4
TUPIZA,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,0,1,1,1,1,2
VILLA TUNARI,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,1,0,0,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,0,1,0,1,0,1
YACUIBA,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-01-01,0,2,0,0,0,2,2
CABEZAS,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-02-01,0,0,1,0,1,0,1
CARANAVI,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-02-01,2,1,1,3,3,4,7
CHARAGUA,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-02-01,0,0,1,0,1,0,1
COCHABAMBA,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-02-01,1,1,0,0,1,1,2
COMARAPA,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-02-01,0,0,0,1,0,1,1
CONCEPCION,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-02-01,0,1,0,0,0,1,1
COTAGAITA,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-02-01,0,0,1,0,1,0,1
EL ALTO,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-02-01,7,5,4,1,11,6,17
EL CHORO,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-02-01,0,0,0,1,0,1,1
HUACARETA,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-02-01,0,0,1,0,1,0,1
ICLA,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-02-01,1,0,0,0,1,0,1
LA PAZ,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-02-01,19,15,0,1,19,16,35
LLALLAGUA,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-02-01,0,0,1,0,1,0,1
MACHACAMARCA,mortalidad institucional,muerte menor de 5 anos por otras causas,2007-02-01,0,0,0,1,0,1,1
