municipality,group,variable,month,Dentro-H,Dentro-M,Fuera-H,Fuera-M,TOTAL-H,TOTAL-M,TOTAL
AYATA,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-01-01,0,0,0,1,0,1,1
CAMIRI,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-01-01,0,1,0,0,0,1,1
COCHABAMBA,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-01-01,0,1,0,0,0,1,1
COLOMI,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-01-01,0,0,1,0,1,0,1
COROICO,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-01-01,1,0,0,0,1,0,1
EL ALTO,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-01-01,1,2,0,0,1,2,3
LLALLAGUA,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-01-01,0,0,1,0,1,0,1
MONTEAGUDO,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-01-01,2,0,0,0,2,0,2
POTOSI,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-01-01,4,0,0,0,4,0,4
PUNATA,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-01-01,0,0,1,0,1,0,1
SAN ANTONIO DE LOMERIO,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-01-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-01-01,1,0,3,1,4,1,5
SAN PEDRO DE TIQUINA,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-01-01,0,0,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-01-01,0,0,1,0,1,0,1
TARABUCO,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-01-01,0,0,1,0,1,0,1
TARIJA,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-01-01,1,0,0,0,1,0,1
TRINIDAD,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-01-01,1,0,0,0,1,0,1
YACUIBA,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-01-01,0,2,0,0,0,2,2
BERMEJO,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-02-01,0,0,1,0,1,0,1
CAMIRI,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-02-01,1,0,0,0,1,0,1
CARANAVI,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-02-01,1,0,0,0,1,0,1
COLLANA,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-02-01,0,0,0,1,0,1,1
COROICO,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-02-01,1,0,0,0,1,0,1
CULPINA,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-02-01,0,0,0,1,0,1,1
EL ALTO,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-02-01,1,1,0,1,1,2,3
LA PAZ,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-02-01,0,0,2,0,2,0,2
POROMA,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-02-01,0,0,1,0,1,0,1
POTOSI,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-02-01,0,1,0,0,0,1,1
PRESTO,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-02-01,0,0,1,0,1,0,1
SAN IGNACIO DE VELASCO,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-02-01,1,0,0,0,1,0,1
SANTA ANA,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-02-01,1,0,0,0,1,0,1
SUCRE,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-02-01,0,0,1,0,1,0,1
CHARAGUA,mortalidad institucional,muerte  menor de 5 anos por diarrea,2007-03-01,0,1,0,0,0,1,1
