municipality,group,variable,month,Dentro-H,Dentro-M,Fuera-H,Fuera-M,TOTAL-H,TOTAL-M,TOTAL
LA PAZ,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-01-01,0,2,0,1,0,3,3
POTOSI,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-01-01,1,0,0,0,1,0,1
PUNATA,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-01-01,0,1,0,0,0,1,1
REYES,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-01-01,1,0,0,0,1,0,1
SACABA,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-01-01,0,0,1,0,1,0,1
SAN LUCAS,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-01-01,0,0,1,0,1,0,1
SANTA ANA,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-01-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-01-01,1,0,0,0,1,0,1
TIRAQUE (CBBA),mortalidad institucional,muerte menor de 5 anos por neumonia,2007-01-01,1,0,0,0,1,0,1
TORO TORO,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-01-01,0,0,1,0,1,0,1
TOTORA(ORR),mortalidad institucional,muerte menor de 5 anos por neumonia,2007-01-01,0,0,1,0,1,0,1
ACHACACHI,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-02-01,0,0,1,0,1,0,1
CARANAVI,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-02-01,1,0,0,0,1,0,1
EL ALTO,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-02-01,0,2,0,0,0,2,2
LA PAZ,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-02-01,0,1,0,0,0,1,1
MONTERO,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-02-01,0,1,0,0,0,1,1
QUILLACOLLO,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-02-01,0,0,0,1,0,1,1
RAVELO,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-02-01,0,0,0,1,0,1,1
SACABA,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-02-01,0,0,0,1,0,1,1
VILLA TUNARI,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-02-01,0,0,0,1,0,1,1
COLQUIRI,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-03-01,0,0,1,0,1,0,1
LLALLAGUA,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-03-01,0,0,0,1,0,1,1
ORURO,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-03-01,0,1,0,0,0,1,1
POTOSI,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-03-01,1,0,0,0,1,0,1
RIBERALTA,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-03-01,1,0,0,0,1,0,1
RURRENABAQUE,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-03-01,1,0,0,0,1,0,1
SACABA,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-03-01,0,0,0,1,0,1,1
SAN IGNACIO DE VELASCO,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-03-01,1,1,0,0,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),mortalidad institucional,muerte menor de 5 anos por neumonia,2007-04-01,0,1,0,0,0,1,1
CHALLAPATA,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-04-01,1,0,0,0,1,0,1
EL ALTO,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-04-01,0,1,0,0,0,1,1
LA PAZ,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-04-01,1,1,0,0,1,1,2
LLALLAGUA,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-04-01,0,0,1,0,1,0,1
POTOSI,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-04-01,1,0,0,0,1,0,1
PUCARANI,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-04-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-04-01,1,0,0,0,1,0,1
SAN MIGUEL DE VELASCO,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-04-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-04-01,1,0,0,0,1,0,1
SUCRE,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-04-01,2,0,0,0,2,0,2
YACUIBA,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-04-01,1,0,0,0,1,0,1
CARACOLLO,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-05-01,0,0,0,1,0,1,1
CARAPARI,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-05-01,0,0,0,1,0,1,1
EL ALTO,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-05-01,2,0,1,2,3,2,5
LA PAZ,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-05-01,3,0,0,0,3,0,3
LLALLAGUA,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-05-01,0,1,0,1,0,2,2
OCURI,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-05-01,0,0,0,1,0,1,1
OKINAWA,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-05-01,0,0,0,1,0,1,1
ORURO,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-05-01,0,1,0,0,0,1,1
POTOSI,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-05-01,1,0,0,0,1,0,1
PUCARANI,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-05-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-05-01,0,0,1,0,1,0,1
TARIJA,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-05-01,1,0,0,0,1,0,1
VILLA MONTES,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-05-01,0,1,0,0,0,1,1
VILLAZON,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-05-01,1,0,0,0,1,0,1
ACHACACHI,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-06-01,0,0,1,0,1,0,1
CARANAVI,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-06-01,0,1,0,0,0,1,1
CARIPUYO,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-06-01,0,0,0,1,0,1,1
EL ALTO,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-06-01,0,1,1,0,1,1,2
LA PAZ,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-06-01,0,1,0,0,0,1,1
POROMA,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-06-01,0,0,1,0,1,0,1
PUERTO SUAREZ,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-06-01,1,0,0,0,1,0,1
PUNATA,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-06-01,0,0,1,0,1,0,1
RIBERALTA,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-06-01,1,0,0,0,1,0,1
BETANZOS,mortalidad institucional,muerte menor de 5 anos por neumonia,2007-07-01,0,0,1,1,1,1,2
