municipality,group,variable,month,Dentro-H,Dentro-M,Fuera-H,Fuera-M,TOTAL-H,TOTAL-M,TOTAL
ACHACACHI,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,0,1,1,1,1,2
ALCALA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,0,1,1,1,1,2
ANCORAIMES,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,0,2,0,2,0,2
ANDAMARCA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,0,0,1,0,1,1
ARQUE,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,0,0,3,0,3,3
ATOCHA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,1,2,0,0,1,2,3
AYATA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,0,1,0,1,0,1
AYO AYO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,0,2,0,2,0,2
BETANZOS,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,0,0,2,0,2,2
BOLIVAR,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,0,1,0,1,0,1
BOYUIBE,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,1,1,1,1,2,3
BUENA VISTA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,1,1,1,1,2,2,4
CALAMARCA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,0,3,3,3,3,6
CAMARGO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,0,2,0,2,0,2
CAMIRI,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,1,1,0,1,1,2
CARANAVI,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,5,0,2,2,7,2,9
CHALLAPATA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,0,4,4,4,4,8
CHARAÑA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,1,0,2,0,3,3
CHIPAYA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,0,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,1,1,1,0,2,1,3
CHUMA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,1,0,0,1,1,1,2
COBIJA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,2,2,0,0,2,2,4
COCHABAMBA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,50,33,1,3,51,36,87
COLLANA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,0,1,0,1,0,1
COLOMI,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,0,4,4,4,4,8
COLQUECHACA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,0,1,0,1,0,1
COLQUENCHA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,0,1,2,1,2,3
COMARAPA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,0,0,1,0,1,1
COPACABANA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,0,4,1,4,1,5
CORIPATA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,1,0,1,0,2,0,2
CORO CORO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,0,0,1,0,1,1
COROICO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,2,1,0,0,2,1,3
COTAGAITA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,0,1,5,1,5,6
CUEVO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,0,1,0,1,0,1
CULPINA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,0,1,1,1,1,2
EL ALTO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,6,4,11,15,17,19,36
EL TORNO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,1,1,0,1,1,2
ENTRE RIOS,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,0,2,1,2,1,3
EUCALIPTUS,mortalidad institucional,otras muertes en personas mayores de 5 anos,2007-01-01,0,0,2,1,2,1,3
