municipality,group,variable,month,Dentro-H,Dentro-M,Fuera-H,Fuera-M,TOTAL-H,TOTAL-M,TOTAL
APOLO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2006-01-01,0,0,0,1,0,1,1
ATOCHA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2006-01-01,1,0,0,0,1,0,1
BERMEJO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2006-01-01,0,2,0,0,0,2,2
BETANZOS,mortalidad institucional,otras muertes en personas mayores de 5 anos,2006-01-01,0,0,3,3,3,3,6
BUENA VISTA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2006-01-01,0,0,1,1,1,1,2
"CAIZA ""D""",mortalidad institucional,otras muertes en personas mayores de 5 anos,2006-01-01,0,0,0,2,0,2,2
CAMARGO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2006-01-01,0,0,1,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),mortalidad institucional,otras muertes en personas mayores de 5 anos,2006-01-01,0,0,0,2,0,2,2
CAMIRI,mortalidad institucional,otras muertes en personas mayores de 5 anos,2006-01-01,3,2,1,0,4,2,6
CAPINOTA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2006-01-01,0,0,0,1,0,1,1
CARANAVI,mortalidad institucional,otras muertes en personas mayores de 5 anos,2006-01-01,0,12,2,12,2,24,26
CHALLAPATA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2006-01-01,0,0,5,3,5,3,8
CHAQUI,mortalidad institucional,otras muertes en personas mayores de 5 anos,2006-01-01,0,0,1,0,1,0,1
CHARAGUA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2006-01-01,1,0,0,0,1,0,1
CHAYANTA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2006-01-01,0,0,2,0,2,0,2
COCHABAMBA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2006-01-01,10,16,1,4,11,20,31
COLOMI,mortalidad institucional,otras muertes en personas mayores de 5 anos,2006-01-01,1,0,2,2,3,2,5
COROICO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2006-01-01,2,0,0,0,2,0,2
COTAGAITA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2006-01-01,0,0,2,2,2,2,4
COTOCA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2006-01-01,0,0,1,0,1,0,1
CULPINA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2006-01-01,1,0,1,1,2,1,3
EL ALTO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2006-01-01,9,3,2,5,11,8,19
