municipality,group,variable,month,Dentro-H,Dentro-M,Fuera-H,Fuera-M,TOTAL-H,TOTAL-M,TOTAL
EL ALTO,mortalidad institucional,muerte menor de 5 anos por neumonia,2006-01-01,0,1,0,0,0,1,1
EXALTACION,mortalidad institucional,muerte menor de 5 anos por neumonia,2006-01-01,0,0,1,0,1,0,1
LA PAZ,mortalidad institucional,muerte menor de 5 anos por neumonia,2006-01-01,1,0,0,0,1,0,1
ORURO,mortalidad institucional,muerte menor de 5 anos por neumonia,2006-01-01,0,1,0,0,0,1,1
PATACAMAYA,mortalidad institucional,muerte menor de 5 anos por neumonia,2006-01-01,0,0,1,0,1,0,1
SAN JULIAN,mortalidad institucional,muerte menor de 5 anos por neumonia,2006-01-01,1,0,0,0,1,0,1
SAN PEDRO DE TIQUINA,mortalidad institucional,muerte menor de 5 anos por neumonia,2006-01-01,0,0,1,0,1,0,1
SANTA ANA,mortalidad institucional,muerte menor de 5 anos por neumonia,2006-01-01,0,0,1,0,1,0,1
TIPUANI,mortalidad institucional,muerte menor de 5 anos por neumonia,2006-01-01,0,1,0,0,0,1,1
CAMIRI,mortalidad institucional,muerte menor de 5 anos por neumonia,2006-02-01,1,0,0,0,1,0,1
POTOSI,mortalidad institucional,muerte menor de 5 anos por neumonia,2006-02-01,1,0,0,0,1,0,1
PUERTO SUAREZ,mortalidad institucional,muerte menor de 5 anos por neumonia,2006-02-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte menor de 5 anos por neumonia,2006-02-01,1,0,0,0,1,0,1
CHARAGUA,mortalidad institucional,muerte menor de 5 anos por neumonia,2006-03-01,0,1,0,0,0,1,1
COCHABAMBA,mortalidad institucional,muerte menor de 5 anos por neumonia,2006-03-01,0,0,1,0,1,0,1
EL ALTO,mortalidad institucional,muerte menor de 5 anos por neumonia,2006-03-01,0,0,1,1,1,1,2
LA PAZ,mortalidad institucional,muerte menor de 5 anos por neumonia,2006-03-01,2,0,0,0,2,0,2
MONTERO,mortalidad institucional,muerte menor de 5 anos por neumonia,2006-03-01,1,0,1,0,2,0,2
POCOATA,mortalidad institucional,muerte menor de 5 anos por neumonia,2006-03-01,0,0,0,1,0,1,1
