municipality,group,variable,month,Dentro-H,Dentro-M,Fuera-H,Fuera-M,TOTAL-H,TOTAL-M,TOTAL
CAJUATA,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-01-01,1,0,0,0,1,0,1
CARANAVI,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-01-01,0,0,0,1,0,1,1
EL ALTO,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-01-01,0,0,0,1,0,1,1
LA PAZ,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-01-01,0,2,0,0,0,2,2
PUERTO GONZALO MORENO,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-01-01,0,0,1,0,1,0,1
SACABA,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-01-01,0,0,0,1,0,1,1
TARIJA,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-01-01,0,1,0,0,0,1,1
TIPUANI,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-01-01,1,0,0,0,1,0,1
YACUIBA,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-01-01,1,0,0,0,1,0,1
BERMEJO,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-02-01,0,0,0,1,0,1,1
COCHABAMBA,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-02-01,0,0,1,0,1,0,1
COTOCA,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-02-01,0,0,1,0,1,0,1
EL ALTO,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-02-01,0,1,1,0,1,1,2
GUAYARAMERIN,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-02-01,1,0,0,0,1,0,1
LA PAZ,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-02-01,0,1,0,1,0,2,2
MAPIRI,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-02-01,0,0,0,1,0,1,1
MIZQUE,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-02-01,0,0,2,0,2,0,2
PASORAPA,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-02-01,0,0,1,0,1,0,1
RIBERALTA,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-02-01,1,1,0,0,1,1,2
SAN CARLOS,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-02-01,0,2,0,0,0,2,2
TARIJA,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-02-01,1,0,0,0,1,0,1
TIPUANI,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-02-01,0,0,1,0,1,0,1
VILLA MONTES,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-02-01,0,0,0,1,0,1,1
VILLA TUNARI,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-02-01,1,0,0,0,1,0,1
ALALAY,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-03-01,0,0,1,0,1,0,1
BETANZOS,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-03-01,1,0,0,0,1,0,1
CAMIRI,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-03-01,2,0,0,0,2,0,2
CARIPUYO,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-03-01,0,0,0,1,0,1,1
CHALLAPATA,mortalidad institucional,muerte  menor de 5 anos por diarrea,2006-03-01,1,0,0,0,1,0,1
