municipality,group,variable,month,Dentro-H,Dentro-M,Fuera-H,Fuera-M,TOTAL-H,TOTAL-M,TOTAL
BETANZOS,mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,0,0,0,2,0,2,2
CAMATAQUI (C. VILLA ABECIA),mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,0,0,1,0,1,0,1
CARANAVI,mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,1,1,0,2,1,3,4
CHARAGUA,mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,0,0,0,1,0,1,1
COCHABAMBA,mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,0,2,0,0,0,2,2
COPACABANA,mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,0,0,0,1,0,1,1
EL ALTO,mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,3,1,1,3,4,4,8
FILADELFIA,mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,0,0,1,0,1,0,1
LA PAZ,mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,22,10,0,2,22,12,34
MOCOMOCO,mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,0,0,0,1,0,1,1
MONTEAGUDO,mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,0,1,0,0,0,1,1
MONTERO,mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,0,0,1,0,1,0,1
PALOS BLANCOS,mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,1,0,0,0,1,0,1
POTOSI,mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,2,2,0,0,2,2,4
PUERTO CARABUCO,mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,0,0,1,0,1,0,1
PUERTO VILLARROEL,mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,0,0,0,1,0,1,1
SACABA,mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,0,0,1,0,1,0,1
SAN IGNACIO DE VELASCO,mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,0,1,0,1,0,2,2
SAN LUCAS,mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,0,0,2,1,2,1,3
SUCRE,mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,5,0,0,0,5,0,5
TARABUCO,mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,0,0,0,1,0,1,1
TARIJA,mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,0,0,2,1,2,1,3
TIRAQUE (CBBA),mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,1,0,0,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,1,0,0,0,1,0,1
WALDO BALLIVIAN,mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,0,0,1,0,1,0,1
YAMPARAEZ,mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,0,0,0,1,0,1,1
YOTALA,mortalidad institucional,muerte menor de 5 anos por otras causas,2006-01-01,0,0,0,1,0,1,1
