municipality,group,variable,month,Dentro-H,Dentro-M,Fuera-H,Fuera-M,TOTAL-H,TOTAL-M,TOTAL
ALALAY,mortalidad institucional,muerte rn menor de 7 dias,2006-01-01,0,0,1,0,1,0,1
BETANZOS,mortalidad institucional,muerte rn menor de 7 dias,2006-01-01,0,0,0,1,0,1,1
CARANAVI,mortalidad institucional,muerte rn menor de 7 dias,2006-01-01,0,1,0,1,0,2,2
COCHABAMBA,mortalidad institucional,muerte rn menor de 7 dias,2006-01-01,5,1,0,0,5,1,6
COPACABANA,mortalidad institucional,muerte rn menor de 7 dias,2006-01-01,0,0,0,1,0,1,1
COTOCA,mortalidad institucional,muerte rn menor de 7 dias,2006-01-01,1,0,0,1,1,1,2
CULPINA,mortalidad institucional,muerte rn menor de 7 dias,2006-01-01,0,0,1,1,1,1,2
EL ALTO,mortalidad institucional,muerte rn menor de 7 dias,2006-01-01,3,1,0,1,3,2,5
LA PAZ,mortalidad institucional,muerte rn menor de 7 dias,2006-01-01,14,7,0,2,14,9,23
LLALLAGUA,mortalidad institucional,muerte rn menor de 7 dias,2006-01-01,1,0,0,0,1,0,1
MONTERO,mortalidad institucional,muerte rn menor de 7 dias,2006-01-01,0,1,0,0,0,1,1
MOROCHATA,mortalidad institucional,muerte rn menor de 7 dias,2006-01-01,0,0,0,1,0,1,1
OCURI,mortalidad institucional,muerte rn menor de 7 dias,2006-01-01,0,0,0,1,0,1,1
ORURO,mortalidad institucional,muerte rn menor de 7 dias,2006-01-01,8,3,0,0,8,3,11
PADCAYA,mortalidad institucional,muerte rn menor de 7 dias,2006-01-01,0,0,0,1,0,1,1
PALOS BLANCOS,mortalidad institucional,muerte rn menor de 7 dias,2006-01-01,1,0,0,0,1,0,1
PAZÑA,mortalidad institucional,muerte rn menor de 7 dias,2006-01-01,0,0,1,0,1,0,1
POTOSI,mortalidad institucional,muerte rn menor de 7 dias,2006-01-01,2,1,0,0,2,1,3
PUERTO SUAREZ,mortalidad institucional,muerte rn menor de 7 dias,2006-01-01,1,0,0,0,1,0,1
