,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,estado nutricional,desnutricion moderada (m),2011-01-01,0,2,0,0,0,0,0,0,0,2,2
ACHACACHI,estado nutricional,desnutricion moderada (m),2011-01-01,1,1,1,3,0,3,0,0,2,7,9
ACHOCALLA,estado nutricional,desnutricion moderada (m),2011-01-01,0,0,0,0,1,1,0,0,1,1,2
AIQUILE,estado nutricional,desnutricion moderada (m),2011-01-01,4,1,0,0,0,2,0,0,4,3,7
APOLO,estado nutricional,desnutricion moderada (m),2011-01-01,0,0,1,1,0,0,0,0,1,1,2
ARAMPAMPA,estado nutricional,desnutricion moderada (m),2011-01-01,0,0,3,1,1,0,0,0,4,1,5
ARANI,estado nutricional,desnutricion moderada (m),2011-01-01,0,0,0,1,1,1,0,0,1,2,3
ARBIETO,estado nutricional,desnutricion moderada (m),2011-01-01,0,0,0,0,1,0,0,0,1,0,1
ARQUE,estado nutricional,desnutricion moderada (m),2011-01-01,3,3,4,7,0,2,0,0,7,12,19
ATOCHA,estado nutricional,desnutricion moderada (m),2011-01-01,0,0,1,2,1,3,0,0,2,5,7
AYATA,estado nutricional,desnutricion moderada (m),2011-01-01,0,0,1,1,0,0,0,0,1,1,2
AYO AYO,estado nutricional,desnutricion moderada (m),2011-01-01,0,0,0,0,1,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,desnutricion moderada (m),2011-01-01,1,1,0,0,3,1,0,0,4,2,6
AZURDUY,estado nutricional,desnutricion moderada (m),2011-01-01,1,1,1,0,0,0,0,0,2,1,3
BAURES,estado nutricional,desnutricion moderada (m),2011-01-01,2,0,0,0,0,0,0,0,2,0,2
BELLA FLOR,estado nutricional,desnutricion moderada (m),2011-01-01,0,0,0,0,1,0,0,0,1,0,1
BERMEJO,estado nutricional,desnutricion moderada (m),2011-01-01,0,0,1,1,0,0,0,0,1,1,2
BETANZOS,estado nutricional,desnutricion moderada (m),2011-01-01,2,1,2,0,0,0,0,0,4,1,5
CABEZAS,estado nutricional,desnutricion moderada (m),2011-01-01,0,0,1,0,1,1,0,0,2,1,3
CAIROMA,estado nutricional,desnutricion moderada (m),2011-01-01,0,1,0,0,0,0,0,0,0,1,1
"CAIZA ""D""",estado nutricional,desnutricion moderada (m),2011-01-01,0,2,0,0,0,0,0,0,0,2,2
CALAMARCA,estado nutricional,desnutricion moderada (m),2011-01-01,1,0,1,1,0,0,0,0,2,1,3
CAMARGO,estado nutricional,desnutricion moderada (m),2011-01-01,0,2,0,0,0,0,0,0,0,2,2
CAMIRI,estado nutricional,desnutricion moderada (m),2011-01-01,0,0,2,1,2,3,0,0,4,4,8
CAPINOTA,estado nutricional,desnutricion moderada (m),2011-01-01,1,0,3,4,1,2,0,0,5,6,11
CARANAVI,estado nutricional,desnutricion moderada (m),2011-01-01,2,1,4,3,2,0,0,0,8,4,12
CARAPARI,estado nutricional,desnutricion moderada (m),2011-01-01,1,0,0,0,0,0,0,0,1,0,1
CARMEN RIVERO TORREZ,estado nutricional,desnutricion moderada (m),2011-01-01,0,0,0,2,0,1,0,0,0,3,3
CHALLAPATA,estado nutricional,desnutricion moderada (m),2011-01-01,1,0,2,0,0,0,0,0,3,0,3
CHAQUI,estado nutricional,desnutricion moderada (m),2011-01-01,0,0,1,0,1,0,0,0,2,0,2
CHARAGUA,estado nutricional,desnutricion moderada (m),2011-01-01,1,0,2,0,4,1,0,0,7,1,8
CHAYANTA,estado nutricional,desnutricion moderada (m),2011-01-01,0,2,1,1,1,0,0,0,2,3,5
CHIMORE,estado nutricional,desnutricion moderada (m),2011-01-01,2,0,1,2,1,0,0,0,4,2,6
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,desnutricion moderada (m),2011-01-01,0,0,0,1,0,2,0,0,0,3,3
CHUMA,estado nutricional,desnutricion moderada (m),2011-01-01,0,0,0,0,1,0,0,0,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,desnutricion moderada (m),2011-01-01,1,1,0,0,0,0,0,0,1,1,2
CLIZA,estado nutricional,desnutricion moderada (m),2011-01-01,1,0,1,0,0,0,0,0,2,0,2
COBIJA,estado nutricional,desnutricion moderada (m),2011-01-01,4,0,1,2,1,1,0,0,6,3,9
COCAPATA,estado nutricional,desnutricion moderada (m),2011-01-01,0,0,0,1,1,0,0,0,1,1,2
COCHABAMBA,estado nutricional,desnutricion moderada (m),2011-01-01,14,11,14,10,11,22,0,0,39,43,82
