,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACHACACHI,estado nutricional,obesidad (o),2011-01-01,4,0,2,0,1,0,1,0,8,0,8
ACHOCALLA,estado nutricional,obesidad (o),2011-01-01,0,1,0,1,1,0,0,0,1,2,3
AIQUILE,estado nutricional,obesidad (o),2011-01-01,7,16,2,1,3,3,28,0,40,20,60
ALALAY,estado nutricional,obesidad (o),2011-01-01,0,0,0,1,3,0,0,0,3,1,4
ALCALA,estado nutricional,obesidad (o),2011-01-01,0,1,0,0,2,0,0,0,2,1,3
ALTO BENI,estado nutricional,obesidad (o),2011-01-01,1,1,0,0,0,2,3,0,4,3,7
ANTEQUERA,estado nutricional,obesidad (o),2011-01-01,0,0,0,0,0,0,2,0,2,0,2
ANZALDO,estado nutricional,obesidad (o),2011-01-01,1,0,0,0,0,0,0,0,1,0,1
APOLO,estado nutricional,obesidad (o),2011-01-01,4,1,0,0,0,0,10,0,14,1,15
ARANI,estado nutricional,obesidad (o),2011-01-01,0,0,0,0,1,0,0,0,1,0,1
ARBIETO,estado nutricional,obesidad (o),2011-01-01,2,0,1,0,1,0,0,0,4,0,4
ARQUE,estado nutricional,obesidad (o),2011-01-01,0,2,0,2,1,0,4,0,5,4,9
ATOCHA,estado nutricional,obesidad (o),2011-01-01,0,0,1,0,0,0,4,0,5,0,5
AYATA,estado nutricional,obesidad (o),2011-01-01,0,1,0,0,1,1,0,0,1,2,3
AYO AYO,estado nutricional,obesidad (o),2011-01-01,0,0,0,0,1,0,4,0,5,0,5
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,obesidad (o),2011-01-01,0,0,1,0,0,0,4,0,5,0,5
AZURDUY,estado nutricional,obesidad (o),2011-01-01,1,0,0,0,0,0,0,0,1,0,1
BATALLAS,estado nutricional,obesidad (o),2011-01-01,0,0,0,0,0,1,3,0,3,1,4
BAURES,estado nutricional,obesidad (o),2011-01-01,0,1,2,1,1,0,0,0,3,2,5
BERMEJO,estado nutricional,obesidad (o),2011-01-01,0,0,0,0,0,0,3,0,3,0,3
BETANZOS,estado nutricional,obesidad (o),2011-01-01,0,0,0,0,0,0,3,0,3,0,3
CABEZAS,estado nutricional,obesidad (o),2011-01-01,0,0,1,1,0,0,0,0,1,1,2
CAIROMA,estado nutricional,obesidad (o),2011-01-01,0,0,0,0,1,0,0,0,1,0,1
"CAIZA ""D""",estado nutricional,obesidad (o),2011-01-01,0,0,0,1,0,0,0,0,0,1,1
CAJUATA,estado nutricional,obesidad (o),2011-01-01,0,0,1,0,0,0,4,0,5,0,5
CALAMARCA,estado nutricional,obesidad (o),2011-01-01,0,0,0,0,0,0,1,0,1,0,1
CAMARGO,estado nutricional,obesidad (o),2011-01-01,1,1,2,0,2,4,11,0,16,5,21
CAMIRI,estado nutricional,obesidad (o),2011-01-01,0,0,0,1,0,0,4,0,4,1,5
CAPINOTA,estado nutricional,obesidad (o),2011-01-01,0,0,0,0,0,0,3,0,3,0,3
CAQUIAVIRI,estado nutricional,obesidad (o),2011-01-01,1,0,0,0,0,0,1,0,2,0,2
CARACOLLO,estado nutricional,obesidad (o),2011-01-01,0,0,0,0,1,0,2,0,3,0,3
CARANAVI,estado nutricional,obesidad (o),2011-01-01,14,14,7,4,15,5,0,0,36,23,59
CARAPARI,estado nutricional,obesidad (o),2011-01-01,3,4,3,2,0,2,0,0,6,8,14
CARIPUYO,estado nutricional,obesidad (o),2011-01-01,0,0,0,0,0,1,0,0,0,1,1
CHALLAPATA,estado nutricional,obesidad (o),2011-01-01,0,0,0,0,0,0,6,0,6,0,6
CHAQUI,estado nutricional,obesidad (o),2011-01-01,1,0,0,0,0,0,4,0,5,0,5
CHARAÑA,estado nutricional,obesidad (o),2011-01-01,0,0,0,0,0,0,1,0,1,0,1
CHIMORE,estado nutricional,obesidad (o),2011-01-01,3,0,0,0,0,1,23,0,26,1,27
CHUMA,estado nutricional,obesidad (o),2011-01-01,4,2,1,0,3,1,3,0,11,3,14
CKOCHAS,estado nutricional,obesidad (o),2011-01-01,1,0,0,0,0,0,0,0,1,0,1
CLIZA,estado nutricional,obesidad (o),2011-01-01,4,4,3,3,3,0,18,0,28,7,35
COBIJA,estado nutricional,obesidad (o),2011-01-01,0,1,0,0,0,0,3,0,3,1,4
COCAPATA,estado nutricional,obesidad (o),2011-01-01,2,2,1,0,6,6,0,0,9,8,17
COCHABAMBA,estado nutricional,obesidad (o),2011-01-01,6,10,6,6,5,6,99,0,116,22,138
