,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,estado nutricional,desnutricion leve (l),2011-01-01,0,0,1,3,2,2,0,0,3,5,8
ACHACACHI,estado nutricional,desnutricion leve (l),2011-01-01,10,9,4,6,4,13,0,0,18,28,46
ACHOCALLA,estado nutricional,desnutricion leve (l),2011-01-01,0,0,0,2,1,5,0,0,1,7,8
AIQUILE,estado nutricional,desnutricion leve (l),2011-01-01,11,4,13,8,10,4,0,0,34,16,50
ALALAY,estado nutricional,desnutricion leve (l),2011-01-01,0,0,1,2,1,0,0,0,2,2,4
ALCALA,estado nutricional,desnutricion leve (l),2011-01-01,0,0,0,0,3,0,0,0,3,0,3
ALTO BENI,estado nutricional,desnutricion leve (l),2011-01-01,2,3,1,4,0,5,0,0,3,12,15
ANCORAIMES,estado nutricional,desnutricion leve (l),2011-01-01,1,1,0,2,6,5,0,0,7,8,15
ANDAMARCA,estado nutricional,desnutricion leve (l),2011-01-01,0,1,0,1,0,0,0,0,0,2,2
ANTEQUERA,estado nutricional,desnutricion leve (l),2011-01-01,0,0,0,1,0,0,0,0,0,1,1
ANZALDO,estado nutricional,desnutricion leve (l),2011-01-01,6,4,6,9,6,6,0,0,18,19,37
APOLO,estado nutricional,desnutricion leve (l),2011-01-01,2,2,3,3,3,3,0,0,8,8,16
ARAMPAMPA,estado nutricional,desnutricion leve (l),2011-01-01,1,1,0,3,3,2,0,0,4,6,10
ARANI,estado nutricional,desnutricion leve (l),2011-01-01,0,2,4,3,3,2,0,0,7,7,14
ARBIETO,estado nutricional,desnutricion leve (l),2011-01-01,2,3,8,8,2,6,0,0,12,17,29
ARQUE,estado nutricional,desnutricion leve (l),2011-01-01,18,16,26,32,10,16,0,0,54,64,118
ASCENCION DE GUARAYOS,estado nutricional,desnutricion leve (l),2011-01-01,0,1,0,0,0,0,0,0,0,1,1
ATOCHA,estado nutricional,desnutricion leve (l),2011-01-01,10,15,7,8,7,10,0,0,24,33,57
AUCAPATA,estado nutricional,desnutricion leve (l),2011-01-01,0,0,0,2,1,1,0,0,1,3,4
AYATA,estado nutricional,desnutricion leve (l),2011-01-01,2,1,2,2,2,2,0,0,6,5,11
AYO AYO,estado nutricional,desnutricion leve (l),2011-01-01,2,1,7,2,0,0,0,0,9,3,12
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,desnutricion leve (l),2011-01-01,7,8,13,8,12,4,0,0,32,20,52
AZURDUY,estado nutricional,desnutricion leve (l),2011-01-01,1,1,2,0,1,2,0,0,4,3,7
BATALLAS,estado nutricional,desnutricion leve (l),2011-01-01,0,1,1,0,0,0,0,0,1,1,2
BAURES,estado nutricional,desnutricion leve (l),2011-01-01,2,0,2,0,2,0,0,0,6,0,6
BELEN DE URMIRI,estado nutricional,desnutricion leve (l),2011-01-01,0,0,3,0,1,0,0,0,4,0,4
BELLA FLOR,estado nutricional,desnutricion leve (l),2011-01-01,0,0,0,1,0,1,0,0,0,2,2
BERMEJO,estado nutricional,desnutricion leve (l),2011-01-01,6,5,4,8,2,3,0,0,12,16,28
BETANZOS,estado nutricional,desnutricion leve (l),2011-01-01,3,2,7,4,1,3,0,0,11,9,20
BOLIVAR,estado nutricional,desnutricion leve (l),2011-01-01,1,0,3,1,0,0,0,0,4,1,5
BOLPEBRA,estado nutricional,desnutricion leve (l),2011-01-01,0,0,1,0,0,0,0,0,1,0,1
BOYUIBE,estado nutricional,desnutricion leve (l),2011-01-01,1,0,0,0,2,3,0,0,3,3,6
BUENA VISTA,estado nutricional,desnutricion leve (l),2011-01-01,9,9,7,5,10,6,0,0,26,20,46
CABEZAS,estado nutricional,desnutricion leve (l),2011-01-01,0,0,0,6,7,2,0,0,7,8,15
CAIROMA,estado nutricional,desnutricion leve (l),2011-01-01,0,0,0,2,0,2,0,0,0,4,4
"CAIZA ""D""",estado nutricional,desnutricion leve (l),2011-01-01,0,4,5,0,1,2,0,0,6,6,12
CAJUATA,estado nutricional,desnutricion leve (l),2011-01-01,0,1,0,0,0,0,0,0,0,1,1
CALAMARCA,estado nutricional,desnutricion leve (l),2011-01-01,0,2,1,1,1,0,0,0,2,3,5
CAMARGO,estado nutricional,desnutricion leve (l),2011-01-01,1,0,2,5,4,2,0,0,7,7,14
CAMATAQUI (C. VILLA ABECIA),estado nutricional,desnutricion leve (l),2011-01-01,0,0,0,1,0,2,0,0,0,3,3
CAMIRI,estado nutricional,desnutricion leve (l),2011-01-01,1,0,2,6,11,13,0,0,14,19,33
