,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACHACACHI,estado nutricional,nutricion normal (n),2011-01-01,87,91,62,47,52,45,6,0,207,183,390
ACHOCALLA,estado nutricional,nutricion normal (n),2011-01-01,15,10,8,17,6,4,60,0,89,31,120
AIQUILE,estado nutricional,nutricion normal (n),2011-01-01,172,182,137,120,127,113,178,0,614,415,1029
ALALAY,estado nutricional,nutricion normal (n),2011-01-01,29,29,26,23,15,19,6,0,76,71,147
ALCALA,estado nutricional,nutricion normal (n),2011-01-01,19,24,22,14,57,63,0,0,98,101,199
ALTO BENI,estado nutricional,nutricion normal (n),2011-01-01,59,44,41,36,32,36,37,0,169,116,285
ANCORAIMES,estado nutricional,nutricion normal (n),2011-01-01,17,17,10,12,10,9,0,0,37,38,75
ANDAMARCA,estado nutricional,nutricion normal (n),2011-01-01,0,0,3,3,0,0,3,0,6,3,9
ANTEQUERA,estado nutricional,nutricion normal (n),2011-01-01,4,7,5,2,11,9,10,0,30,18,48
ANZALDO,estado nutricional,nutricion normal (n),2011-01-01,38,41,38,37,27,47,14,0,117,125,242
APOLO,estado nutricional,nutricion normal (n),2011-01-01,31,16,12,10,16,24,34,0,93,50,143
ARAMPAMPA,estado nutricional,nutricion normal (n),2011-01-01,35,26,37,27,44,44,0,0,116,97,213
ARANI,estado nutricional,nutricion normal (n),2011-01-01,87,112,94,88,102,78,0,0,283,278,561
ARBIETO,estado nutricional,nutricion normal (n),2011-01-01,91,78,114,93,107,129,54,0,366,300,666
ARQUE,estado nutricional,nutricion normal (n),2011-01-01,105,119,94,85,103,84,88,0,390,288,678
ASCENCION DE GUARAYOS,estado nutricional,nutricion normal (n),2011-01-01,6,3,3,1,2,6,0,0,11,10,21
ATOCHA,estado nutricional,nutricion normal (n),2011-01-01,69,100,51,55,84,72,67,0,271,227,498
AUCAPATA,estado nutricional,nutricion normal (n),2011-01-01,5,3,5,4,2,0,0,0,12,7,19
AYATA,estado nutricional,nutricion normal (n),2011-01-01,32,22,28,22,28,23,11,0,99,67,166
AYO AYO,estado nutricional,nutricion normal (n),2011-01-01,14,12,9,5,2,3,1,0,26,20,46
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,nutricion normal (n),2011-01-01,196,160,175,129,124,126,169,0,664,415,1079
AZURDUY,estado nutricional,nutricion normal (n),2011-01-01,49,36,21,66,81,84,0,0,151,186,337
BATALLAS,estado nutricional,nutricion normal (n),2011-01-01,9,5,9,12,7,7,20,0,45,24,69
BAURES,estado nutricional,nutricion normal (n),2011-01-01,21,25,27,12,30,23,0,0,78,60,138
BELEN DE ANDAMARCA,estado nutricional,nutricion normal (n),2011-01-01,1,0,0,1,0,0,0,0,1,1,2
BELEN DE URMIRI,estado nutricional,nutricion normal (n),2011-01-01,5,10,8,15,6,9,0,0,19,34,53
BELLA FLOR,estado nutricional,nutricion normal (n),2011-01-01,0,1,1,2,2,3,0,0,3,6,9
BERMEJO,estado nutricional,nutricion normal (n),2011-01-01,123,105,92,115,62,52,17,0,294,272,566
BETANZOS,estado nutricional,nutricion normal (n),2011-01-01,10,8,9,3,6,7,27,0,52,18,70
BOLIVAR,estado nutricional,nutricion normal (n),2011-01-01,7,3,10,5,20,9,1,0,38,17,55
BOLPEBRA,estado nutricional,nutricion normal (n),2011-01-01,1,0,0,1,0,0,2,0,3,1,4
BOYUIBE,estado nutricional,nutricion normal (n),2011-01-01,22,18,20,16,42,52,0,0,84,86,170
BUENA VISTA,estado nutricional,nutricion normal (n),2011-01-01,64,52,56,44,62,75,0,0,182,171,353
CABEZAS,estado nutricional,nutricion normal (n),2011-01-01,95,76,73,56,79,83,2,0,249,215,464
CAIROMA,estado nutricional,nutricion normal (n),2011-01-01,21,17,13,9,27,32,10,0,71,58,129
"CAIZA ""D""",estado nutricional,nutricion normal (n),2011-01-01,7,7,2,3,1,6,1,0,11,16,27
CAJUATA,estado nutricional,nutricion normal (n),2011-01-01,6,10,1,1,3,1,32,0,42,12,54
CALACOTO,estado nutricional,nutricion normal (n),2011-01-01,2,3,1,3,2,2,4,0,9,8,17
CALAMARCA,estado nutricional,nutricion normal (n),2011-01-01,9,6,8,6,3,5,5,0,25,17,42
CAMARGO,estado nutricional,nutricion normal (n),2011-01-01,102,83,77,68,96,104,31,0,306,255,561
CAMATAQUI (C. VILLA ABECIA),estado nutricional,nutricion normal (n),2011-01-01,28,18,29,15,39,52,0,0,96,85,181
CAMIRI,estado nutricional,nutricion normal (n),2011-01-01,102,102,64,51,86,98,60,0,312,251,563
