,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,infecc. de transmision sexual,flujo uretral (vaginal),2011-01-01,0,0,0,0,0,0,0,1,4,21,1,0,5,22,27
AIQUILE,infecc. de transmision sexual,flujo uretral (vaginal),2011-01-01,0,0,0,0,1,0,0,3,0,20,0,2,1,25,26
ALALAY,infecc. de transmision sexual,flujo uretral (vaginal),2011-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),infecc. de transmision sexual,flujo uretral (vaginal),2011-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
BAURES,infecc. de transmision sexual,flujo uretral (vaginal),2011-01-01,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
BELLA FLOR,infecc. de transmision sexual,flujo uretral (vaginal),2011-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
BERMEJO,infecc. de transmision sexual,flujo uretral (vaginal),2011-01-01,0,0,0,0,0,0,0,0,0,25,0,2,0,27,27
BETANZOS,infecc. de transmision sexual,flujo uretral (vaginal),2011-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
BOLIVAR,infecc. de transmision sexual,flujo uretral (vaginal),2011-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
BOLPEBRA,infecc. de transmision sexual,flujo uretral (vaginal),2011-01-01,0,0,0,0,0,0,0,1,0,3,0,0,0,4,4
CALAMARCA,infecc. de transmision sexual,flujo uretral (vaginal),2011-01-01,0,0,0,0,0,0,0,0,0,8,0,0,0,8,8
CAMARGO,infecc. de transmision sexual,flujo uretral (vaginal),2011-01-01,0,0,0,0,0,0,0,3,0,26,0,0,0,29,29
CAMIRI,infecc. de transmision sexual,flujo uretral (vaginal),2011-01-01,0,0,0,0,0,0,0,0,2,1,1,0,3,1,4
CARANAVI,infecc. de transmision sexual,flujo uretral (vaginal),2011-01-01,0,0,0,0,0,0,0,0,1,6,0,0,1,6,7
CARAPARI,infecc. de transmision sexual,flujo uretral (vaginal),2011-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CHIMORE,infecc. de transmision sexual,flujo uretral (vaginal),2011-01-01,0,0,0,0,0,0,0,1,0,4,0,0,0,5,5
CLIZA,infecc. de transmision sexual,flujo uretral (vaginal),2011-01-01,0,0,0,0,0,0,0,1,0,5,0,0,0,6,6
COBIJA,infecc. de transmision sexual,flujo uretral (vaginal),2011-01-01,0,0,0,0,0,0,1,17,4,66,0,0,5,83,88
COCAPATA,infecc. de transmision sexual,flujo uretral (vaginal),2011-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
COCHABAMBA,infecc. de transmision sexual,flujo uretral (vaginal),2011-01-01,0,0,0,0,0,0,3,128,41,263,0,25,44,416,460
