,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACHACACHI,estado nutricional,desnutricion grave (g),2008-01-01,0,1,3,0,0,0,0,0,3,1,4
AIQUILE,estado nutricional,desnutricion grave (g),2008-01-01,0,0,2,1,0,0,0,0,2,1,3
ALCALA,estado nutricional,desnutricion grave (g),2008-01-01,0,1,0,0,0,0,0,0,0,1,1
ANCORAIMES,estado nutricional,desnutricion grave (g),2008-01-01,0,0,1,1,0,0,0,0,1,1,2
ANZALDO,estado nutricional,desnutricion grave (g),2008-01-01,1,0,0,0,0,1,0,0,1,1,2
APOLO,estado nutricional,desnutricion grave (g),2008-01-01,0,0,3,1,0,1,0,0,3,2,5
ARAMPAMPA,estado nutricional,desnutricion grave (g),2008-01-01,3,2,2,1,0,1,0,0,5,4,9
ATOCHA,estado nutricional,desnutricion grave (g),2008-01-01,1,0,0,0,1,0,0,0,2,0,2
AYO AYO,estado nutricional,desnutricion grave (g),2008-01-01,0,0,0,0,1,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,desnutricion grave (g),2008-01-01,0,0,1,0,0,0,0,0,1,0,1
AZURDUY,estado nutricional,desnutricion grave (g),2008-01-01,0,0,4,2,3,0,0,0,7,2,9
BELLA FLOR,estado nutricional,desnutricion grave (g),2008-01-01,0,0,0,0,0,1,0,0,0,1,1
BETANZOS,estado nutricional,desnutricion grave (g),2008-01-01,2,0,1,3,0,2,0,0,3,5,8
BOLIVAR,estado nutricional,desnutricion grave (g),2008-01-01,0,0,0,0,4,1,0,0,4,1,5
BOLPEBRA,estado nutricional,desnutricion grave (g),2008-01-01,0,0,0,1,0,0,0,0,0,1,1
BUENA VISTA,estado nutricional,desnutricion grave (g),2008-01-01,0,0,0,1,0,0,0,0,0,1,1
CABEZAS,estado nutricional,desnutricion grave (g),2008-01-01,0,1,0,1,0,0,0,0,0,2,2
CALAMARCA,estado nutricional,desnutricion grave (g),2008-01-01,2,0,2,0,0,0,0,0,4,0,4
CAMARGO,estado nutricional,desnutricion grave (g),2008-01-01,0,0,0,0,0,1,0,0,0,1,1
CAMIRI,estado nutricional,desnutricion grave (g),2008-01-01,0,0,3,0,0,1,0,0,3,1,4
CARIPUYO,estado nutricional,desnutricion grave (g),2008-01-01,0,0,0,0,0,1,0,0,0,1,1
CHALLAPATA,estado nutricional,desnutricion grave (g),2008-01-01,2,0,0,1,1,3,0,0,3,4,7
CHAQUI,estado nutricional,desnutricion grave (g),2008-01-01,0,0,0,0,1,2,0,0,1,2,3
CHARAGUA,estado nutricional,desnutricion grave (g),2008-01-01,0,1,0,1,0,0,0,0,0,2,2
CHAYANTA,estado nutricional,desnutricion grave (g),2008-01-01,0,1,1,1,0,1,0,0,1,3,4
CHIMORE,estado nutricional,desnutricion grave (g),2008-01-01,0,0,1,0,0,1,0,0,1,1,2
CLIZA,estado nutricional,desnutricion grave (g),2008-01-01,0,0,1,0,0,1,0,0,1,1,2
COBIJA,estado nutricional,desnutricion grave (g),2008-01-01,0,0,1,1,1,0,0,0,2,1,3
COCHABAMBA,estado nutricional,desnutricion grave (g),2008-01-01,15,13,5,6,6,4,0,0,26,23,49
COIPASA,estado nutricional,desnutricion grave (g),2008-01-01,0,1,0,0,0,0,0,0,0,1,1
COLCAPIRHUA,estado nutricional,desnutricion grave (g),2008-01-01,0,1,1,1,0,0,0,0,1,2,3
"COLCHA ""K""",estado nutricional,desnutricion grave (g),2008-01-01,0,0,1,0,0,0,0,0,1,0,1
COLOMI,estado nutricional,desnutricion grave (g),2008-01-01,0,1,0,0,2,0,0,0,2,1,3
COLQUECHACA,estado nutricional,desnutricion grave (g),2008-01-01,4,2,1,4,0,4,0,0,5,10,15
COLQUIRI,estado nutricional,desnutricion grave (g),2008-01-01,2,0,0,0,0,1,0,0,2,1,3
COMANCHE,estado nutricional,desnutricion grave (g),2008-01-01,1,0,0,0,0,0,0,0,1,0,1
COPACABANA,estado nutricional,desnutricion grave (g),2008-01-01,0,0,0,0,1,0,0,0,1,0,1
CORO CORO,estado nutricional,desnutricion grave (g),2008-01-01,2,1,0,0,0,0,0,0,2,1,3
COTAGAITA,estado nutricional,desnutricion grave (g),2008-01-01,2,0,0,1,0,0,0,0,2,1,3
CUEVO,estado nutricional,desnutricion grave (g),2008-01-01,0,0,0,0,1,1,0,0,1,1,2
EL ALTO,estado nutricional,desnutricion grave (g),2008-01-01,8,7,2,5,4,4,0,0,14,16,30
