,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACHACACHI,estado nutricional,desnutricion leve (l),2008-01-01,11,13,16,13,11,25,0,0,38,51,89
ACHOCALLA,estado nutricional,desnutricion leve (l),2008-01-01,0,1,0,2,0,0,0,0,0,3,3
AIQUILE,estado nutricional,desnutricion leve (l),2008-01-01,0,0,23,30,28,42,0,0,51,72,123
ALALAY,estado nutricional,desnutricion leve (l),2008-01-01,1,0,16,8,18,18,0,0,35,26,61
ALCALA,estado nutricional,desnutricion leve (l),2008-01-01,5,0,14,15,24,29,0,0,43,44,87
ANCORAIMES,estado nutricional,desnutricion leve (l),2008-01-01,8,5,13,11,22,33,0,0,43,49,92
ANDAMARCA,estado nutricional,desnutricion leve (l),2008-01-01,1,0,0,0,0,0,0,0,1,0,1
ANTEQUERA,estado nutricional,desnutricion leve (l),2008-01-01,9,4,4,0,4,3,0,0,17,7,24
ANZALDO,estado nutricional,desnutricion leve (l),2008-01-01,1,3,10,16,12,11,0,0,23,30,53
APOLO,estado nutricional,desnutricion leve (l),2008-01-01,13,3,15,23,34,20,0,0,62,46,108
ARAMPAMPA,estado nutricional,desnutricion leve (l),2008-01-01,3,5,5,9,32,30,0,0,40,44,84
ARANI,estado nutricional,desnutricion leve (l),2008-01-01,3,5,13,8,9,9,0,0,25,22,47
ARBIETO,estado nutricional,desnutricion leve (l),2008-01-01,6,5,5,12,13,6,0,0,24,23,47
ARQUE,estado nutricional,desnutricion leve (l),2008-01-01,0,0,0,2,50,57,0,0,50,59,109
ASCENCION DE GUARAYOS,estado nutricional,desnutricion leve (l),2008-01-01,0,0,3,7,0,0,0,0,3,7,10
ATOCHA,estado nutricional,desnutricion leve (l),2008-01-01,4,5,11,11,17,17,0,0,32,33,65
AUCAPATA,estado nutricional,desnutricion leve (l),2008-01-01,2,0,8,8,8,3,0,0,18,11,29
AYATA,estado nutricional,desnutricion leve (l),2008-01-01,5,2,7,8,20,21,0,0,32,31,63
AYO AYO,estado nutricional,desnutricion leve (l),2008-01-01,5,1,5,4,7,9,0,0,17,14,31
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,desnutricion leve (l),2008-01-01,9,5,24,34,31,50,0,0,64,89,153
AZURDUY,estado nutricional,desnutricion leve (l),2008-01-01,0,0,32,27,61,77,0,0,93,104,197
BATALLAS,estado nutricional,desnutricion leve (l),2008-01-01,0,0,2,1,0,2,0,0,2,3,5
BAURES,estado nutricional,desnutricion leve (l),2008-01-01,2,5,7,7,4,8,0,0,13,20,33
BELEN DE URMIRI,estado nutricional,desnutricion leve (l),2008-01-01,0,0,4,1,4,9,0,0,8,10,18
BELLA FLOR,estado nutricional,desnutricion leve (l),2008-01-01,0,0,2,2,6,4,0,0,8,6,14
BERMEJO,estado nutricional,desnutricion leve (l),2008-01-01,13,10,10,13,14,10,0,0,37,33,70
BETANZOS,estado nutricional,desnutricion leve (l),2008-01-01,16,13,22,19,56,38,0,0,94,70,164
BOLIVAR,estado nutricional,desnutricion leve (l),2008-01-01,0,0,0,0,17,23,0,0,17,23,40
BOLPEBRA,estado nutricional,desnutricion leve (l),2008-01-01,0,0,0,3,2,4,0,0,2,7,9
BOYUIBE,estado nutricional,desnutricion leve (l),2008-01-01,0,0,4,3,7,8,0,0,11,11,22
BUENA VISTA,estado nutricional,desnutricion leve (l),2008-01-01,1,0,33,26,24,24,0,0,58,50,108
CABEZAS,estado nutricional,desnutricion leve (l),2008-01-01,10,7,29,23,15,17,0,0,54,47,101
CAIROMA,estado nutricional,desnutricion leve (l),2008-01-01,19,24,31,34,16,15,0,0,66,73,139
"CAIZA ""D""",estado nutricional,desnutricion leve (l),2008-01-01,0,4,4,4,14,8,0,0,18,16,34
CAJUATA,estado nutricional,desnutricion leve (l),2008-01-01,4,4,0,4,2,2,0,0,6,10,16
CALACOTO,estado nutricional,desnutricion leve (l),2008-01-01,2,0,6,5,7,6,0,0,15,11,26
CALAMARCA,estado nutricional,desnutricion leve (l),2008-01-01,7,14,27,30,43,43,0,0,77,87,164
CAMARGO,estado nutricional,desnutricion leve (l),2008-01-01,6,9,8,6,14,12,0,0,28,27,55
CAMIRI,estado nutricional,desnutricion leve (l),2008-01-01,11,27,25,56,35,61,0,0,71,144,215
CAPINOTA,estado nutricional,desnutricion leve (l),2008-01-01,0,0,7,7,47,45,0,0,54,52,106
CARACOLLO,estado nutricional,desnutricion leve (l),2008-01-01,3,3,3,2,4,1,0,0,10,6,16
