,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACHACACHI,estado nutricional,obesidad (o),2008-01-01,1,0,0,0,0,0,0,0,1,0,1
ACHOCALLA,estado nutricional,obesidad (o),2008-01-01,1,0,0,0,0,0,0,0,1,0,1
AIQUILE,estado nutricional,obesidad (o),2008-01-01,0,0,0,2,2,1,0,0,2,3,5
ANDAMARCA,estado nutricional,obesidad (o),2008-01-01,4,0,0,0,1,0,0,0,5,0,5
ANTEQUERA,estado nutricional,obesidad (o),2008-01-01,0,0,0,0,0,0,4,0,4,0,4
ANZALDO,estado nutricional,obesidad (o),2008-01-01,0,0,0,0,1,0,0,0,1,0,1
ATOCHA,estado nutricional,obesidad (o),2008-01-01,1,0,1,1,0,1,7,0,9,2,11
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,obesidad (o),2008-01-01,1,0,0,0,0,0,0,0,1,0,1
BATALLAS,estado nutricional,obesidad (o),2008-01-01,4,3,0,1,1,1,0,0,5,5,10
BERMEJO,estado nutricional,obesidad (o),2008-01-01,0,0,0,0,0,0,5,0,5,0,5
BETANZOS,estado nutricional,obesidad (o),2008-01-01,2,3,0,0,1,0,1,0,4,3,7
BUENA VISTA,estado nutricional,obesidad (o),2008-01-01,0,0,1,0,1,0,0,0,2,0,2
CAJUATA,estado nutricional,obesidad (o),2008-01-01,0,0,0,0,0,0,1,0,1,0,1
CALACOTO,estado nutricional,obesidad (o),2008-01-01,1,0,0,0,0,1,0,0,1,1,2
CAMARGO,estado nutricional,obesidad (o),2008-01-01,1,3,4,2,2,0,0,0,7,5,12
CAMIRI,estado nutricional,obesidad (o),2008-01-01,8,2,1,1,1,0,0,0,10,3,13
CARACOLLO,estado nutricional,obesidad (o),2008-01-01,0,0,0,1,4,4,0,0,4,5,9
CARAPARI,estado nutricional,obesidad (o),2008-01-01,5,4,5,2,4,2,0,0,14,8,22
CARIPUYO,estado nutricional,obesidad (o),2008-01-01,5,4,1,1,1,2,0,0,7,7,14
CHALLAPATA,estado nutricional,obesidad (o),2008-01-01,1,0,0,0,0,0,18,0,19,0,19
CHAQUI,estado nutricional,obesidad (o),2008-01-01,1,0,0,0,0,0,0,0,1,0,1
CHAYANTA,estado nutricional,obesidad (o),2008-01-01,2,1,0,0,0,0,0,0,2,1,3
CHIMORE,estado nutricional,obesidad (o),2008-01-01,0,0,0,2,0,0,0,0,0,2,2
CHUMA,estado nutricional,obesidad (o),2008-01-01,1,3,2,1,4,1,0,0,7,5,12
COCHABAMBA,estado nutricional,obesidad (o),2008-01-01,2,1,1,0,2,3,0,0,5,4,9
COLOMI,estado nutricional,obesidad (o),2008-01-01,1,0,0,0,0,0,0,0,1,0,1
COLQUECHACA,estado nutricional,obesidad (o),2008-01-01,0,1,0,0,0,0,0,0,0,1,1
COLQUENCHA,estado nutricional,obesidad (o),2008-01-01,1,1,1,1,2,3,0,0,4,5,9
COLQUIRI,estado nutricional,obesidad (o),2008-01-01,0,0,0,0,0,0,1,0,1,0,1
COPACABANA,estado nutricional,obesidad (o),2008-01-01,0,0,2,0,0,1,0,0,2,1,3
COROICO,estado nutricional,obesidad (o),2008-01-01,0,0,0,0,0,0,3,0,3,0,3
CURAHUARA DE CARANGAS,estado nutricional,obesidad (o),2008-01-01,1,1,0,0,0,0,0,0,1,1,2
EL ALTO,estado nutricional,obesidad (o),2008-01-01,9,5,5,1,6,2,32,0,52,8,60
EL CHORO,estado nutricional,obesidad (o),2008-01-01,2,0,2,0,0,0,0,0,4,0,4
EL PUENTE(TJA),estado nutricional,obesidad (o),2008-01-01,0,0,0,0,0,1,0,0,0,1,1
ENTRE RIOS,estado nutricional,obesidad (o),2008-01-01,1,0,0,0,0,0,0,0,1,0,1
EXALTACION,estado nutricional,obesidad (o),2008-01-01,0,0,7,1,0,1,0,0,7,2,9
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,obesidad (o),2008-01-01,3,2,0,0,1,0,2,0,6,2,8
GUAYARAMERIN,estado nutricional,obesidad (o),2008-01-01,0,0,45,26,6,4,0,0,51,30,81
HUACARETA,estado nutricional,obesidad (o),2008-01-01,0,0,0,0,2,0,0,0,2,0,2
HUARACAJE,estado nutricional,obesidad (o),2008-01-01,1,3,0,1,3,0,0,0,4,4,8
ICLA,estado nutricional,obesidad (o),2008-01-01,8,6,4,4,12,9,0,0,24,19,43
INCAHUASI,estado nutricional,obesidad (o),2008-01-01,1,0,0,0,0,0,0,0,1,0,1
