,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACHACACHI,estado nutricional,desnutricion moderada (m),2008-01-01,0,0,0,0,1,2,0,0,1,2,3
ACHOCALLA,estado nutricional,desnutricion moderada (m),2008-01-01,0,0,0,0,0,1,0,0,0,1,1
AIQUILE,estado nutricional,desnutricion moderada (m),2008-01-01,0,0,7,7,8,6,0,0,15,13,28
ALALAY,estado nutricional,desnutricion moderada (m),2008-01-01,0,0,1,4,2,3,0,0,3,7,10
ALCALA,estado nutricional,desnutricion moderada (m),2008-01-01,0,0,3,6,2,1,0,0,5,7,12
ANCORAIMES,estado nutricional,desnutricion moderada (m),2008-01-01,0,1,2,2,1,1,0,0,3,4,7
ANDAMARCA,estado nutricional,desnutricion moderada (m),2008-01-01,0,1,0,0,0,0,0,0,0,1,1
ANTEQUERA,estado nutricional,desnutricion moderada (m),2008-01-01,1,2,0,0,0,0,0,0,1,2,3
ANZALDO,estado nutricional,desnutricion moderada (m),2008-01-01,0,1,0,2,2,4,0,0,2,7,9
APOLO,estado nutricional,desnutricion moderada (m),2008-01-01,3,0,5,2,3,4,0,0,11,6,17
ARAMPAMPA,estado nutricional,desnutricion moderada (m),2008-01-01,2,2,2,3,4,4,0,0,8,9,17
ARANI,estado nutricional,desnutricion moderada (m),2008-01-01,1,1,0,0,0,1,0,0,1,2,3
ARBIETO,estado nutricional,desnutricion moderada (m),2008-01-01,0,1,1,2,0,0,0,0,1,3,4
ARQUE,estado nutricional,desnutricion moderada (m),2008-01-01,0,0,0,0,11,12,0,0,11,12,23
ASCENCION DE GUARAYOS,estado nutricional,desnutricion moderada (m),2008-01-01,0,0,0,1,0,0,0,0,0,1,1
ATOCHA,estado nutricional,desnutricion moderada (m),2008-01-01,1,4,3,4,1,5,0,0,5,13,18
AUCAPATA,estado nutricional,desnutricion moderada (m),2008-01-01,0,1,2,1,4,0,0,0,6,2,8
AYATA,estado nutricional,desnutricion moderada (m),2008-01-01,2,0,4,1,3,5,0,0,9,6,15
AYO AYO,estado nutricional,desnutricion moderada (m),2008-01-01,1,0,2,1,4,2,0,0,7,3,10
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,desnutricion moderada (m),2008-01-01,4,7,3,5,1,3,0,0,8,15,23
AZURDUY,estado nutricional,desnutricion moderada (m),2008-01-01,0,0,6,7,19,18,0,0,25,25,50
BAURES,estado nutricional,desnutricion moderada (m),2008-01-01,2,1,0,2,2,0,0,0,4,3,7
BERMEJO,estado nutricional,desnutricion moderada (m),2008-01-01,5,5,11,16,4,8,0,0,20,29,49
BETANZOS,estado nutricional,desnutricion moderada (m),2008-01-01,6,4,6,9,8,11,0,0,20,24,44
BOLIVAR,estado nutricional,desnutricion moderada (m),2008-01-01,0,0,0,0,5,3,0,0,5,3,8
BOLPEBRA,estado nutricional,desnutricion moderada (m),2008-01-01,0,0,0,0,0,2,0,0,0,2,2
BOYUIBE,estado nutricional,desnutricion moderada (m),2008-01-01,0,0,1,3,1,0,0,0,2,3,5
BUENA VISTA,estado nutricional,desnutricion moderada (m),2008-01-01,0,0,4,1,1,4,0,0,5,5,10
CABEZAS,estado nutricional,desnutricion moderada (m),2008-01-01,2,1,7,7,7,7,0,0,16,15,31
CAIROMA,estado nutricional,desnutricion moderada (m),2008-01-01,7,7,5,9,3,2,0,0,15,18,33
"CAIZA ""D""",estado nutricional,desnutricion moderada (m),2008-01-01,1,3,2,1,1,0,0,0,4,4,8
CAJUATA,estado nutricional,desnutricion moderada (m),2008-01-01,1,0,0,0,0,0,0,0,1,0,1
CALACOTO,estado nutricional,desnutricion moderada (m),2008-01-01,0,0,0,0,0,1,0,0,0,1,1
CALAMARCA,estado nutricional,desnutricion moderada (m),2008-01-01,1,3,9,7,10,10,0,0,20,20,40
CAMARGO,estado nutricional,desnutricion moderada (m),2008-01-01,0,0,0,1,1,1,0,0,1,2,3
CAMIRI,estado nutricional,desnutricion moderada (m),2008-01-01,0,1,9,13,3,15,0,0,12,29,41
CAPINOTA,estado nutricional,desnutricion moderada (m),2008-01-01,0,0,0,0,2,5,0,0,2,5,7
CARACOLLO,estado nutricional,desnutricion moderada (m),2008-01-01,0,0,1,0,1,1,0,0,2,1,3
CARAPARI,estado nutricional,desnutricion moderada (m),2008-01-01,0,0,1,0,3,0,0,0,4,0,4
CARIPUYO,estado nutricional,desnutricion moderada (m),2008-01-01,4,3,3,0,1,3,0,0,8,6,14
CARMEN RIVERO TORREZ,estado nutricional,desnutricion moderada (m),2008-01-01,0,0,3,5,1,1,0,0,4,6,10
