,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACHACACHI,estado nutricional,nutricion normal (n),2008-01-01,166,122,98,90,115,123,8,0,387,335,722
ACHOCALLA,estado nutricional,nutricion normal (n),2008-01-01,16,27,10,8,5,11,0,0,31,46,77
AIQUILE,estado nutricional,nutricion normal (n),2008-01-01,0,0,95,123,93,83,0,0,188,206,394
ALALAY,estado nutricional,nutricion normal (n),2008-01-01,0,0,33,21,31,15,0,0,64,36,100
ALCALA,estado nutricional,nutricion normal (n),2008-01-01,17,11,14,20,44,38,0,0,75,69,144
ANCORAIMES,estado nutricional,nutricion normal (n),2008-01-01,42,52,40,41,78,67,0,0,160,160,320
ANDAMARCA,estado nutricional,nutricion normal (n),2008-01-01,13,9,8,8,12,11,0,0,33,28,61
ANTEQUERA,estado nutricional,nutricion normal (n),2008-01-01,20,21,10,8,34,25,8,0,72,54,126
ANZALDO,estado nutricional,nutricion normal (n),2008-01-01,16,14,13,10,11,10,0,0,40,34,74
APOLO,estado nutricional,nutricion normal (n),2008-01-01,34,27,64,52,55,42,0,0,153,121,274
ARAMPAMPA,estado nutricional,nutricion normal (n),2008-01-01,36,29,18,22,48,39,0,0,102,90,192
ARANI,estado nutricional,nutricion normal (n),2008-01-01,16,10,16,10,26,21,0,0,58,41,99
ARBIETO,estado nutricional,nutricion normal (n),2008-01-01,57,37,35,34,26,35,0,0,118,106,224
ARQUE,estado nutricional,nutricion normal (n),2008-01-01,2,1,0,0,21,27,1,0,24,28,52
ASCENCION DE GUARAYOS,estado nutricional,nutricion normal (n),2008-01-01,0,0,23,34,0,0,0,0,23,34,57
ATOCHA,estado nutricional,nutricion normal (n),2008-01-01,56,53,38,30,44,59,52,0,190,142,332
AUCAPATA,estado nutricional,nutricion normal (n),2008-01-01,10,5,16,18,21,14,0,0,47,37,84
AYATA,estado nutricional,nutricion normal (n),2008-01-01,51,41,34,30,47,33,0,0,132,104,236
AYO AYO,estado nutricional,nutricion normal (n),2008-01-01,25,16,7,10,12,18,0,0,44,44,88
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,nutricion normal (n),2008-01-01,21,17,83,82,54,59,0,0,158,158,316
AZURDUY,estado nutricional,nutricion normal (n),2008-01-01,0,0,127,112,122,92,0,0,249,204,453
BATALLAS,estado nutricional,nutricion normal (n),2008-01-01,48,35,44,30,46,36,9,0,147,101,248
BAURES,estado nutricional,nutricion normal (n),2008-01-01,13,9,22,18,19,22,0,0,54,49,103
BELEN DE ANDAMARCA,estado nutricional,nutricion normal (n),2008-01-01,3,2,0,0,0,0,0,0,3,2,5
BELEN DE URMIRI,estado nutricional,nutricion normal (n),2008-01-01,3,7,6,5,9,3,0,0,18,15,33
BELLA FLOR,estado nutricional,nutricion normal (n),2008-01-01,2,2,1,6,11,5,0,0,14,13,27
BERMEJO,estado nutricional,nutricion normal (n),2008-01-01,39,28,20,12,30,23,29,0,118,63,181
BETANZOS,estado nutricional,nutricion normal (n),2008-01-01,86,70,57,47,92,114,5,0,240,231,471
BOLIVAR,estado nutricional,nutricion normal (n),2008-01-01,1,1,0,1,14,19,0,0,15,21,36
BOLPEBRA,estado nutricional,nutricion normal (n),2008-01-01,9,4,15,8,18,20,0,0,42,32,74
BOYUIBE,estado nutricional,nutricion normal (n),2008-01-01,0,0,29,20,35,31,0,0,64,51,115
BUENA VISTA,estado nutricional,nutricion normal (n),2008-01-01,1,0,114,97,102,86,0,0,217,183,400
CABEZAS,estado nutricional,nutricion normal (n),2008-01-01,23,21,72,68,87,68,0,0,182,157,339
CAIROMA,estado nutricional,nutricion normal (n),2008-01-01,66,52,67,47,24,36,0,0,157,135,292
"CAIZA ""D""",estado nutricional,nutricion normal (n),2008-01-01,18,17,12,11,33,27,0,0,63,55,118
CAJUATA,estado nutricional,nutricion normal (n),2008-01-01,42,48,29,35,38,56,33,0,142,139,281
CALACOTO,estado nutricional,nutricion normal (n),2008-01-01,11,8,9,8,13,15,2,0,35,31,66
CALAMARCA,estado nutricional,nutricion normal (n),2008-01-01,45,53,23,39,34,67,0,0,102,159,261
CAMARGO,estado nutricional,nutricion normal (n),2008-01-01,72,63,41,40,84,84,0,0,197,187,384
CAMIRI,estado nutricional,nutricion normal (n),2008-01-01,85,86,176,201,224,202,0,0,485,489,974
CAPINOTA,estado nutricional,nutricion normal (n),2008-01-01,0,0,14,5,105,76,0,0,119,81,200
CARACOLLO,estado nutricional,nutricion normal (n),2008-01-01,77,74,25,59,17,22,5,0,124,155,279
