municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 9 años,10 a 20 años,21 a 59 años,60 y más,TOTAL
ALALAY,sospecha diagnostica,meningitis meningococica,2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIZQUE,sospecha diagnostica,meningitis meningococica,2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUCRE,sospecha diagnostica,meningitis meningococica,2014-01-01,0.0,0.0,1.0,0.0,0.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,meningitis meningococica,2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VILLA VACA GUZMAN (MUYUPAMPA),sospecha diagnostica,meningitis meningococica,2014-01-01,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ALALAY,sospecha diagnostica,meningitis meningococica,2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIZQUE,sospecha diagnostica,meningitis meningococica,2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUCRE,sospecha diagnostica,meningitis meningococica,2014-02-01,1.0,0.0,2.0,0.0,0.0,0.0,3.0
VILA VILA,sospecha diagnostica,meningitis meningococica,2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALALAY,sospecha diagnostica,meningitis meningococica,2014-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIZQUE,sospecha diagnostica,meningitis meningococica,2014-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VILA VILA,sospecha diagnostica,meningitis meningococica,2014-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIZQUE,sospecha diagnostica,meningitis meningococica,2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUCRE,sospecha diagnostica,meningitis meningococica,2014-04-01,3.0,0.0,0.0,0.0,0.0,0.0,3.0
VILA VILA,sospecha diagnostica,meningitis meningococica,2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIZQUE,sospecha diagnostica,meningitis meningococica,2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUCRE,sospecha diagnostica,meningitis meningococica,2014-05-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
TIRAQUE (CBBA),sospecha diagnostica,meningitis meningococica,2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VILLA TUNARI,sospecha diagnostica,meningitis meningococica,2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIZQUE,sospecha diagnostica,meningitis meningococica,2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUCRE,sospecha diagnostica,meningitis meningococica,2014-06-01,1.0,1.0,0.0,0.0,0.0,0.0,2.0
VILA VILA,sospecha diagnostica,meningitis meningococica,2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VILLA TUNARI,sospecha diagnostica,meningitis meningococica,2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YACUIBA,sospecha diagnostica,meningitis meningococica,2014-06-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
CUCHUMUELA (V. G. VILLARROEL),sospecha diagnostica,meningitis meningococica,2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIZQUE,sospecha diagnostica,meningitis meningococica,2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUNATA,sospecha diagnostica,meningitis meningococica,2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUCRE,sospecha diagnostica,meningitis meningococica,2014-07-01,1.0,2.0,0.0,0.0,0.0,0.0,3.0
VILA VILA,sospecha diagnostica,meningitis meningococica,2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VILLA TUNARI,sospecha diagnostica,meningitis meningococica,2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUCHUMUELA (V. G. VILLARROEL),sospecha diagnostica,meningitis meningococica,2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIZQUE,sospecha diagnostica,meningitis meningococica,2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUNATA,sospecha diagnostica,meningitis meningococica,2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUCRE,sospecha diagnostica,meningitis meningococica,2014-08-01,0.0,0.0,0.0,0.0,0.0,1.0,1.0
VILA VILA,sospecha diagnostica,meningitis meningococica,2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VILLA TUNARI,sospecha diagnostica,meningitis meningococica,2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUCHUMUELA (V. G. VILLARROEL),sospecha diagnostica,meningitis meningococica,2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIZQUE,sospecha diagnostica,meningitis meningococica,2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUNATA,sospecha diagnostica,meningitis meningococica,2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VILA VILA,sospecha diagnostica,meningitis meningococica,2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VILLA TUNARI,sospecha diagnostica,meningitis meningococica,2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA PAZ,sospecha diagnostica,meningitis meningococica,2014-10-01,0.0,0.0,0.0,0.0,0.0,1.0,1.0
SENA,sospecha diagnostica,meningitis meningococica,2014-11-01,0.0,1.0,0.0,0.0,0.0,0.0,1.0
TARIJA,sospecha diagnostica,meningitis meningococica,2014-11-01,0.0,1.0,0.0,0.0,0.0,0.0,1.0
