municipality,group,variable,month,a. Nro. Eventos,b. Nro. Personas afectadas,c. Nro. Personas fallecidas,TOTAL
CHARAGUA,eventos - notificacion inmediata parte ii,otros de excepcion,2024-02-01,1.0,4.0,0.0,5.0
LA PAZ,eventos - notificacion inmediata parte ii,otros de excepcion,2024-02-01,1.0,0.0,0.0,1.0
SACABA,eventos - notificacion inmediata parte ii,otros de excepcion,2024-02-01,1.0,5.0,0.0,6.0
ORURO,eventos - notificacion inmediata parte ii,otros de excepcion,2024-03-01,1.0,17.0,0.0,18.0
SAN LUCAS,eventos - notificacion inmediata parte ii,otros de excepcion,2024-03-01,1.0,300.0,0.0,301.0
TAHUA,eventos - notificacion inmediata parte ii,otros de excepcion,2024-04-01,1.0,64.0,0.0,65.0
LAS CARRERAS,eventos - notificacion inmediata parte ii,otros de excepcion,2024-05-01,0.0,0.0,1.0,1.0
MORO MORO,eventos - notificacion inmediata parte ii,otros de excepcion,2024-05-01,4.0,0.0,0.0,4.0
PADILLA,eventos - notificacion inmediata parte ii,otros de excepcion,2024-05-01,1.0,5.0,0.0,6.0
PUCARA,eventos - notificacion inmediata parte ii,otros de excepcion,2024-05-01,1.0,0.0,0.0,1.0
SAN LUCAS,eventos - notificacion inmediata parte ii,otros de excepcion,2024-06-01,1.0,30.0,0.0,31.0
SAN MIGUEL DE VELASCO,eventos - notificacion inmediata parte ii,otros de excepcion,2024-06-01,1.0,1000.0,0.0,1001.0
SANTA ANA,eventos - notificacion inmediata parte ii,otros de excepcion,2024-06-01,0.0,3.0,7.0,10.0
TRIGAL,eventos - notificacion inmediata parte ii,otros de excepcion,2024-06-01,1.0,15.0,0.0,16.0
CKOCHAS,eventos - notificacion inmediata parte ii,otros de excepcion,2024-07-01,3.0,5.0,0.0,8.0
MORO MORO,eventos - notificacion inmediata parte ii,otros de excepcion,2024-07-01,1.0,0.0,0.0,1.0
PADCAYA,eventos - notificacion inmediata parte ii,otros de excepcion,2024-07-01,1.0,0.0,0.0,1.0
PUCARA,eventos - notificacion inmediata parte ii,otros de excepcion,2024-07-01,1.0,0.0,0.0,1.0
ASCENCION DE GUARAYOS,eventos - notificacion inmediata parte ii,otros de excepcion,2024-08-01,1.0,62.0,0.0,63.0
CONCEPCION,eventos - notificacion inmediata parte ii,otros de excepcion,2024-08-01,1.0,69.0,240.0,310.0
SAN JAVIER(BNI),eventos - notificacion inmediata parte ii,otros de excepcion,2024-08-01,1.0,40.0,0.0,41.0
SAN JUAN DE YAPACANI,eventos - notificacion inmediata parte ii,otros de excepcion,2024-08-01,0.0,5.0,0.0,5.0
TRIGAL,eventos - notificacion inmediata parte ii,otros de excepcion,2024-08-01,2.0,27.0,0.0,29.0
LAJA,eventos - notificacion inmediata parte ii,otros de excepcion,2024-09-01,1.0,11.0,0.0,12.0
REYES,eventos - notificacion inmediata parte ii,otros de excepcion,2024-09-01,1.0,5.0,0.0,6.0
URUBICHA,eventos - notificacion inmediata parte ii,otros de excepcion,2024-09-01,3.0,0.0,0.0,3.0
BERMEJO,eventos - notificacion inmediata parte ii,otros de excepcion,2024-10-01,1.0,0.0,0.0,1.0
CHULUMANI (V. DE LA LIBERTAD),eventos - notificacion inmediata parte ii,otros de excepcion,2024-10-01,0.0,0.0,1.0,1.0
SUCRE,eventos - notificacion inmediata parte ii,otros de excepcion,2024-10-01,1.0,1.0,1.0,3.0
URUBICHA,eventos - notificacion inmediata parte ii,otros de excepcion,2024-10-01,3.0,0.0,0.0,3.0
AZURDUY,eventos - notificacion inmediata parte ii,otros de excepcion,2024-11-01,1.0,3.0,0.0,4.0
INCAHUASI,eventos - notificacion inmediata parte ii,otros de excepcion,2024-11-01,0.0,0.0,1.0,1.0
LA PAZ,eventos - notificacion inmediata parte ii,otros de excepcion,2024-11-01,1.0,135.0,1.0,137.0
PUNA,eventos - notificacion inmediata parte ii,otros de excepcion,2024-11-01,0.0,0.0,1.0,1.0
SAN LUCAS,eventos - notificacion inmediata parte ii,otros de excepcion,2024-11-01,1.0,2.0,2.0,5.0
VITICHI,eventos - notificacion inmediata parte ii,otros de excepcion,2024-11-01,1.0,0.0,0.0,1.0
CARIPUYO,eventos - notificacion inmediata parte ii,otros de excepcion,2024-12-01,0.0,1.0,0.0,1.0
MONTEAGUDO,eventos - notificacion inmediata parte ii,otros de excepcion,2024-12-01,1.0,2.0,1.0,4.0
TURCO,eventos - notificacion inmediata parte ii,otros de excepcion,2024-12-01,0.0,0.0,1.0,1.0
