municipality,group,variable,month,a. Nro. Eventos,b. Nro. Personas afectadas,c. Nro. Personas fallecidas,TOTAL
EL TORNO,eventos - notificacion inmediata parte ii,inundacion,2024-01-01,2.0,1.0,1.0,4.0
TIPUANI,eventos - notificacion inmediata parte ii,inundacion,2024-01-01,1.0,480.0,5.0,486.0
APOLO,eventos - notificacion inmediata parte ii,inundacion,2024-02-01,1.0,48.0,0.0,49.0
BERMEJO,eventos - notificacion inmediata parte ii,inundacion,2024-02-01,1.0,7.0,0.0,8.0
BOLPEBRA,eventos - notificacion inmediata parte ii,inundacion,2024-02-01,2.0,54.0,0.0,56.0
CKOCHAS,eventos - notificacion inmediata parte ii,inundacion,2024-02-01,1.0,36.0,0.0,37.0
COBIJA,eventos - notificacion inmediata parte ii,inundacion,2024-02-01,4.0,359.0,0.0,363.0
COLCAPIRHUA,eventos - notificacion inmediata parte ii,inundacion,2024-02-01,1.0,40.0,0.0,41.0
"COLCHA ""K""",eventos - notificacion inmediata parte ii,inundacion,2024-02-01,1.0,20.0,0.0,21.0
CURVA,eventos - notificacion inmediata parte ii,inundacion,2024-02-01,1.0,19.0,0.0,20.0
ORURO,eventos - notificacion inmediata parte ii,inundacion,2024-02-01,2.0,325.0,0.0,327.0
PORVENIR,eventos - notificacion inmediata parte ii,inundacion,2024-02-01,1.0,13.0,0.0,14.0
PUERTO VILLARROEL,eventos - notificacion inmediata parte ii,inundacion,2024-02-01,1.0,41.0,0.0,42.0
SORACACHI,eventos - notificacion inmediata parte ii,inundacion,2024-02-01,1.0,19.0,0.0,20.0
TIPUANI,eventos - notificacion inmediata parte ii,inundacion,2024-02-01,2.0,70.0,0.0,72.0
ALALAY,eventos - notificacion inmediata parte ii,inundacion,2024-03-01,22.0,0.0,0.0,22.0
ARBIETO,eventos - notificacion inmediata parte ii,inundacion,2024-03-01,0.0,21.0,0.0,21.0
BATALLAS,eventos - notificacion inmediata parte ii,inundacion,2024-03-01,1.0,6.0,0.0,7.0
BELLA FLOR,eventos - notificacion inmediata parte ii,inundacion,2024-03-01,1.0,55.0,0.0,56.0
BERMEJO,eventos - notificacion inmediata parte ii,inundacion,2024-03-01,2.0,10.0,0.0,12.0
CHALLAPATA,eventos - notificacion inmediata parte ii,inundacion,2024-03-01,6.0,16.0,0.0,22.0
CKOCHAS,eventos - notificacion inmediata parte ii,inundacion,2024-03-01,1.0,36.0,0.0,37.0
CLIZA,eventos - notificacion inmediata parte ii,inundacion,2024-03-01,1.0,15.0,0.0,16.0
COCHABAMBA,eventos - notificacion inmediata parte ii,inundacion,2024-03-01,4.0,10.0,0.0,14.0
COLCAPIRHUA,eventos - notificacion inmediata parte ii,inundacion,2024-03-01,2.0,57.0,0.0,59.0
LAJA,eventos - notificacion inmediata parte ii,inundacion,2024-03-01,2.0,0.0,0.0,2.0
MIZQUE,eventos - notificacion inmediata parte ii,inundacion,2024-03-01,1.0,5.0,0.0,6.0
BERMEJO,eventos - notificacion inmediata parte ii,inundacion,2024-04-01,2.0,86.0,0.0,88.0
VILLA TUNARI,eventos - notificacion inmediata parte ii,inundacion,2024-04-01,1.0,10.0,0.0,11.0
PUERTO VILLARROEL,eventos - notificacion inmediata parte ii,inundacion,2024-05-01,1.0,100.0,0.0,101.0
LAS CARRERAS,eventos - notificacion inmediata parte ii,inundacion,2024-10-01,1.0,104.0,0.0,105.0
CHIMORE,eventos - notificacion inmediata parte ii,inundacion,2024-12-01,1.0,24.0,0.0,25.0
COLCAPIRHUA,eventos - notificacion inmediata parte ii,inundacion,2024-12-01,2.0,730.0,0.0,732.0
TIPUANI,eventos - notificacion inmediata parte ii,inundacion,2024-12-01,1.0,6.0,0.0,7.0
VILLA TUNARI,eventos - notificacion inmediata parte ii,inundacion,2024-12-01,1.0,53.0,0.0,54.0
